,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year
46,Under 18,"21,941",992,"5,224",4,124,377,487,394,"4,538",241,51,"2,279",15,167,17,283,"1,057",415,2,180,"1,855",1.0,16,165,"2,082",0,"2,324",37,"3,465",0.0,"1,365",377,"5,267,955",MINNESOTA,2015
47,Total all ages,"148,307","5,792","26,814",119,670,"1,197","3,806","2,155","23,406","1,135",118,"14,022",973,"2,699",40,"1,688","3,203","1,867",558,"1,083","17,342",29.0,805,"20,830","9,671",99,"10,090",445,"28,886",6.0,"1,365",,,MINNESOTA,2015
48,Under 18,"3,654",63,927,5,10,30,18,186,697,37,7,506,5,19,1,36,64,97,1,11,268,7.0,191,48,43,38,511,0,733,2.0,83,64,"1,201,051",MISSISSIPPI,2015
49,Total all ages,"71,916","1,271","8,453",103,85,324,759,"1,253","6,850",309,41,"5,784",341,"1,021",387,637,651,875,35,162,"9,010",95.0,"2,493","6,889","1,182","3,803","3,777",46,"24,821",100.0,83,,,MISSISSIPPI,2015
50,Under 18,"19,941",974,"4,729",17,113,286,558,597,"3,807",297,28,"3,289",15,76,21,398,960,286,14,343,"2,241",5.0,50,154,889,7,"1,356",5,"3,260",0.0,869,347,"5,365,025",MISSOURI,2015
51,Total all ages,"222,609","9,682","34,559",253,538,"1,893","6,998","4,179","28,339","1,899",142,"22,871","1,270","2,238",323,"2,840","4,052","2,936",400,"1,218","34,052",73.0,"2,417","19,449","5,491",318,"8,042",955,"68,554",0.0,869,,,MISSOURI,2015
52,Under 18,"3,693",75,795,0,7,4,64,42,676,64,13,376,1,8,4,1,224,9,0,17,253,0.0,63,41,491,0,389,0,578,0.0,368,94,"892,390",MONTANA,2015
53,Total all ages,"25,687",907,"4,038",7,50,44,806,212,"3,582",219,25,"3,412",84,223,53,23,792,75,6,79,"1,961",2.0,225,"3,674","1,690",0,"2,585",8,"5,482",0.0,368,,,MONTANA,2015
54,Under 18,"6,290",79,"1,404",1,5,26,47,111,"1,210",59,24,"1,001",6,35,4,70,419,51,2,62,"1,023",0.0,4,72,674,0,307,0,948,0.0,129,146,"1,172,029",NEBRASKA,2015
55,Total all ages,"45,859","1,170","5,932",9,106,124,931,395,"5,241",248,48,"4,875",179,829,28,281,"1,288",617,49,253,"8,589",0.0,810,"5,348","4,058",0,"1,786",14,"9,624",0.0,129,,,NEBRASKA,2015
56,Under 18,"9,379",953,"2,033",7,58,298,590,426,"1,456",125,26,"1,593",5,21,5,140,353,126,69,41,854,3.0,31,35,646,31,141,9,"1,685",2.0,603,45,"2,890,845",NEVADA,2015
57,Total all ages,"115,675","8,337","12,475",131,340,"1,996","5,870","2,677","8,936",805,57,"13,976",619,"1,639",338,"1,523","1,472","1,460","3,308",797,"11,594",35.0,902,"7,612","3,680",190,"1,250","1,753","42,108",4.0,603,,,NEVADA,2015
58,Under 18,"3,421",59,441,1,5,11,42,44,374,18,5,575,2,8,3,54,163,7,0,21,579,0.0,4,36,434,156,124,0,741,0.0,14,163,"1,223,429",NEW HAMPSHIRE,2015
59,Total all ages,"44,368",772,"4,355",9,57,169,537,378,"3,863",96,18,"4,800",244,822,124,543,927,138,59,123,"7,371",6.0,123,"4,746","3,139","3,302",943,55,"11,762",0.0,14,,,NEW HAMPSHIRE,2015
60,Under 18,"16,348","1,298","2,887",19,47,610,622,573,"2,130",108,76,"1,566",28,70,8,383,802,621,15,136,"3,127",29.0,64,170,758,0,"1,309",21,"2,594",0.0,462,473,"8,116,733",NEW JERSEY,2015
61,Total all ages,"264,250","8,697","26,181",154,338,"2,650","5,555","4,069","21,342",617,153,"19,819","1,004","3,498",283,"2,089","3,530","3,268",623,902,"46,376",338.0,"8,344","22,201","3,580",0,"11,395",397,"101,263",0.0,462,,,NEW JERSEY,2015
62,Under 18,"5,179",242,"1,255",7,14,10,211,129,997,44,85,787,2,16,6,44,160,79,2,18,675,0.0,49,67,254,26,297,2,"1,192",2.0,4,71,"1,577,658",NEW MEXICO,2015
63,Total all ages,"87,310","3,984","10,496",70,107,365,"3,442","1,045","8,758",365,328,"8,696",248,524,158,"1,051","1,137",529,62,117,"7,188",1.0,"1,456","8,542","2,509","2,541","2,543",99,"35,386",39.0,4,,,NEW MEXICO,2015
64,Under 18,"21,248","1,765","5,985",10,226,760,769,"1,071","4,444",389,81,"2,887",55,198,2,479,"2,069",418,11,298,"3,295",7.0,22,109,357,0,697,12,"2,582",0.0,0,531,"10,479,132",NEW YORK,2015
65,Total all ages,"271,540","13,418","51,569",262,"1,121","3,574","8,461","6,223","43,300","1,770",276,"30,295","2,655","4,760",72,"3,558","14,382","3,436",847,"1,893","62,035",77.0,582,"28,988","1,634",0,"6,471",713,"44,155",0.0,0,,,NEW YORK,2015
66,Under 18,"19,724","1,207","5,815",45,29,550,583,"1,454","4,134",173,54,"3,575",29,185,19,398,937,661,6,92,"1,288",1.0,50,242,507,0,"1,589",0,"3,103",0.0,20,247,"6,955,485",NORTH CAROLINA,2015
67,Total all ages,"278,625","13,275","46,827",430,294,"3,002","9,549","9,144","36,598",867,218,"37,505","1,418","8,564","1,130","3,344","5,022","4,981",420,968,"21,487",99.0,"4,613","35,967","3,309",0,"6,878",5,"82,793",0.0,20,,,NORTH CAROLINA,2015
68,Under 18,"3,659",58,646,0,7,8,43,47,558,36,5,360,2,13,2,23,129,24,1,24,385,0.0,122,44,460,20,653,0,607,0.0,86,106,"744,362",NORTH DAKOTA,2015
69,Total all ages,"32,565",682,"3,420",19,41,44,578,282,"2,908",211,19,"2,650",110,299,37,273,454,406,47,114,"4,475",3.0,287,"6,351","3,077",867,"1,927",1,"6,995",4.0,86,,,NORTH DAKOTA,2015
70,Under 18,"22,220",657,"4,416",6,64,292,295,661,"3,496",193,66,"4,231",18,119,1,464,963,288,8,153,"1,612",6.0,212,57,731,24,"1,658",0,"6,011",3.0,588,435,"8,279,228",OHIO,2015
71,Total all ages,"226,325","5,361","34,444",136,361,"1,656","3,208","3,670","29,967",654,153,"27,155",999,"2,157",21,"3,006","3,289","2,893","1,132",595,"32,827",27.0,"1,674","34,254","6,207","1,608","14,714",73,"53,294",7.0,588,,,OHIO,2015
72,Under 18,"10,129",447,"2,847",13,29,129,276,403,"2,300",117,27,956,10,40,41,264,312,200,0,40,"1,296",8.0,48,93,154,288,712,0,"1,369",0.0,"1,004",291,"3,573,369",OKLAHOMA,2015
73,Total all ages,"110,974","4,770","18,127",179,230,700,"3,661","2,065","15,364",555,143,"8,323",587,"1,642",487,"2,348","1,280","2,139",8,427,"17,771",12.0,633,"11,101","1,459","13,759","2,264",40,"22,691",102.0,"1,004",,,OKLAHOMA,2015
74,Under 18,"8,164",225,"1,852",1,19,44,161,181,"1,508",97,66,904,1,46,0,9,615,59,1,72,"1,468",0.0,3,70,860,0,485,0,"1,044",0.0,450,163,"1,919,401",OREGON,2015
75,Total all ages,"76,969","2,310","13,709",35,117,377,"1,781","1,236","11,448",875,150,"6,538",327,"1,227",30,415,"2,525","1,181",56,428,"11,152",0.0,320,"9,019","5,099",0,"4,849",1,"17,333",0.0,450,,,OREGON,2015
76,Under 18,"48,337","2,747","6,289",34,221,971,"1,521",940,"4,697",472,180,"5,082",53,480,28,310,"1,890",860,7,506,"3,228",2.0,37,316,"2,588",210,"7,928",51,"3,679",0.0,"12,046","1,203","11,980,252",PENNSYLVANIA,2015
77,Total all ages,"377,078","18,944","55,827",466,"1,052","5,043","12,383","6,859","46,249","2,266",453,"41,594","2,374","8,003",424,"2,289","7,209","4,262","1,752","2,251","52,281",64.0,"1,748","44,615","11,117","20,659","37,017",368,"52,234",0.0,"12,046",,,PENNSYLVANIA,2015
78,Under 18,"2,373",94,433,0,19,26,49,88,307,26,12,421,1,7,10,51,181,88,0,12,81,0.0,35,9,54,0,475,0,408,0.0,13,49,"1,056,298",RHODE ISLAND,2015
79,Total all ages,"27,171",882,"2,746",17,93,162,610,488,"2,112",117,29,"3,918",102,436,92,311,986,394,98,87,"1,757",5.0,75,"2,591",588,12,"2,417",0,"9,661",0.0,13,,,RHODE ISLAND,2015
80,Under 18,"12,374",497,"3,361",23,43,166,265,483,"2,754",97,27,"2,010",8,55,7,165,522,334,10,42,"1,757",6.0,7,90,396,68,"1,434",0,"1,582",0.0,23,415,"4,085,854",SOUTH CAROLINA,2015
81,Total all ages,"151,136","6,061","24,120",248,295,"1,009","4,509","3,066","20,228",721,105,"16,051","1,182","3,079",363,"1,754","2,678","1,752",561,298,"25,666",122.0,"1,189","16,272","6,216","7,721","9,044",504,"26,480",0.0,23,,,SOUTH CAROLINA,2015
82,Under 18,"4,982",61,856,1,8,9,43,85,696,64,11,485,2,59,7,27,160,31,0,15,948,0.0,135,88,835,12,400,1,737,0.0,123,117,"790,395",SOUTH DAKOTA,2015
83,Total all ages,"48,048","1,190","3,638",17,52,67,"1,054",283,"3,118",210,27,"4,222",70,725,34,111,516,210,50,64,"7,058",1.0,500,"7,305","3,757","4,833","2,895",430,"10,316",0.0,123,,,SOUTH DAKOTA,2015
84,Under 18,"24,113","1,596","4,807",39,73,381,"1,103",813,"3,630",326,38,"4,240",57,130,17,75,"1,312",426,0,121,"2,294",32.0,56,112,633,180,"1,990",0,"4,349",0.0,"1,686",423,"6,339,882",TENNESSEE,2015
85,Total all ages,"335,281","16,399","42,241",311,340,"1,906","13,842","5,286","34,613","2,213",129,"29,779","1,833","6,065",801,797,"4,843","2,472","1,272",654,"38,486",143.0,"3,829","23,150","5,577","15,927","7,184",10,"132,133",0.0,"1,686",,,TENNESSEE,2015
86,Under 18,"68,279","3,743","18,754",52,312,"1,471","1,908","2,953","14,535","1,135",131,"11,751",107,242,42,176,"2,035",726,62,467,"10,177",25.0,121,384,"1,436","1,112","1,906",217,"12,093",0.0,"2,703",965,"26,993,502",TEXAS,2015
87,Total all ages,"808,119","31,493","117,371",749,"2,095","6,956","21,693","12,895","98,494","5,528",454,"95,433","4,844","6,818",659,952,"8,480","10,861","4,987","3,244","131,851",669.0,"4,845","64,971","9,720","68,148","9,905",800,"229,365",0.0,"2,703",,,TEXAS,2015
88,Under 18,"14,984",273,"3,463",2,72,51,148,201,"3,120",117,25,"1,385",15,48,4,97,839,233,11,265,"1,671",0.0,68,157,787,82,932,6,"3,833",2.0,813,117,"2,832,325",UTAH,2015
89,Total all ages,"115,453","2,418","19,416",29,244,439,"1,706","1,153","17,745",450,68,"9,857",722,"1,051",34,"1,081","2,857","1,137",190,740,"14,913",1.0,"1,414","8,813","4,431","3,182","3,459",39,"38,792",93.0,813,,,UTAH,2015
90,Under 18,614,36,104,0,12,3,21,14,80,6,4,118,1,3,3,6,64,8,0,7,29,0.0,2,8,40,0,92,0,93,0.0,0,72,"583,567",VERMONT,2015
91,Total all ages,"11,183",472,"1,402",7,40,35,390,189,"1,176",29,8,"1,202",37,184,60,96,275,17,4,25,610,0.0,145,"2,144",103,1,703,0,"3,703",0.0,0,,,VERMONT,2015
92,Under 18,"17,151",603,"3,574",10,53,267,273,475,"2,922",134,43,"2,923",29,100,32,114,701,281,3,115,"1,972",1.0,27,100,761,142,618,0,"4,122",0.0,933,397,"7,925,463",VIRGINIA,2015
93,Total all ages,"268,167","6,247","31,971",289,448,"1,392","4,118","2,833","28,164",810,164,"31,504","1,642","5,079","1,371",784,"3,746","3,160",685,674,"33,558",23.0,"1,969","20,477","5,340","21,338","3,106",215,"94,345",0.0,933,,,VIRGINIA,2015
94,Under 18,"14,882",893,"4,198",11,70,319,493,697,"3,171",276,54,"3,188",14,17,1,223,952,282,3,119,"1,369",0.0,17,151,988,5,241,5,"2,209",2.0,5,229,"6,543,817",WASHINGTON,2015
95,Total all ages,"186,866","7,822","33,708",155,488,"1,831","5,348","4,900","27,244","1,376",188,"26,193",833,930,56,"3,144","5,223","1,771",435,606,"11,026",4.0,359,"24,627","3,236",41,"3,009",104,"63,717",17.0,5,,,WASHINGTON,2015
96,Under 18,"1,178",55,202,0,11,9,35,48,133,17,4,229,2,3,1,13,85,18,0,12,130,0.0,0,17,44,2,11,0,340,0.0,14,192,"1,071,996",WEST VIRGINIA,2015
97,Total all ages,"40,568","1,743","6,480",35,77,144,"1,487",685,"5,563",197,35,"4,890",309,583,138,314,746,378,64,116,"6,187",1.0,91,"4,543",940,"1,043",654,23,"11,311",0.0,14,,,WEST VIRGINIA,2015
98,Under 18,"43,693","1,146","6,769",23,163,458,502,631,"5,624",461,53,"2,341",30,134,19,538,"1,839",719,16,709,"2,920",11.0,158,222,"2,580",0,"8,340",38,"12,931",0.0,"2,233",389,"5,502,458",WISCONSIN,2015
99,Total all ages,"265,628","7,522","31,519",180,690,"1,562","5,090","2,789","27,432","1,163",135,"15,481",967,"2,890",283,"1,581","6,476","4,022",402,"2,067","25,302",53.0,"2,545","24,588","14,283",0,"36,191","1,107","86,115",1.0,"2,233",,,WISCONSIN,2015
100,Under 18,"3,239",46,552,0,1,6,39,37,466,39,10,347,0,7,0,5,162,22,0,24,449,1.0,10,32,418,22,150,24,775,1.0,192,49,"523,926",WYOMING,2015
101,Total all ages,"27,058",553,"2,541",10,35,34,474,228,"2,157",95,61,"2,049",56,156,10,51,490,76,40,130,"3,695",1.0,354,"3,157","1,925","2,029",961,67,"8,523",2.0,192,,,WYOMING,2015
0,Under 18,4800,321,1229,15,32,109,165,318,833,72,6,777,20,24,1,121,190,93,0,29,191,0.0,44,28,225,31,378,2,1096,0.0,0,240.0,3800629.0,ALABAMA,2016
1,Total all ages,154482,6187,18479,312,384,1177,4314,3004,14495,880,100,18151,1382,3774,190,2020,1583,1681,1,706,10193,0.0,982,8126,2496,7283,2129,67,69052,0.0,0,,,ALABAMA,2016
2,Under 18,1893,216,494,8,21,35,152,104,300,62,28,297,1,10,8,5,135,24,0,33,207,0.0,1,31,121,18,11,0,269,0.0,12,32.0,738566.0,ALASKA,2016
3,Total all ages,29462,2298,3495,41,130,282,1845,538,2401,505,51,4300,96,236,81,82,1024,311,13,281,1006,0.0,195,3063,775,112,738,4,11340,0.0,12,,,ALASKA,2016
4,Under 18,22997,1020,5113,15,53,336,616,759,3968,341,45,3667,13,80,19,126,1761,221,2,259,3090,0.0,177,211,1668,84,1436,65,2924,0.0,1061,90.0,6391343.0,ARIZONA,2016
5,Total all ages,263699,11145,37592,242,344,1849,8710,3957,31907,1551,177,26150,1098,2005,352,1341,10031,2878,387,1388,30309,3.0,2520,23498,9745,14100,15874,351,71741,130.0,1061,,,ARIZONA,2016
6,Under 18,8045,424,1801,10,44,91,279,414,1308,74,5,1433,8,31,1,163,298,123,0,35,770,0.0,10,44,219,87,470,0,1765,0.0,363,271.0,2786173.0,ARKANSAS,2016
7,Total all ages,132165,4860,13791,143,289,561,3867,2174,11084,488,45,11849,813,1114,64,1437,1460,1040,277,119,15736,8.0,354,6703,1769,6589,2425,890,60504,0.0,363,,,ARKANSAS,2016
8,Under 18,58758,7015,12519,92,275,2601,4047,4583,6169,1508,259,8977,62,180,15,982,3050,3379,112,1123,6291,3.0,3,493,1210,880,1264,101,9645,0.0,1454,613.0,39012007.0,CALIFORNIA,2016
9,Total all ages,1118712,106828,115354,1437,2560,15866,86965,40808,54720,18521,1305,80835,5000,6324,955,16500,17202,27707,7601,9222,219016,266.0,236,129752,8857,69869,3906,6597,285231,0.0,1454,,,CALIFORNIA,2016
10,Under 18,21548,636,4753,6,52,126,452,432,3794,450,77,1697,6,63,7,32,833,294,1,102,2440,0.0,52,217,1389,47,1727,0,6099,0.0,1153,193.0,5008754.0,COLORADO,2016
11,Total all ages,225710,6691,29879,150,414,941,5186,2571,24495,2585,228,17079,679,2512,101,456,5354,2363,510,437,14790,3.0,2849,23364,9025,249,7486,453,100277,0.0,1153,,,COLORADO,2016
12,Under 18,8264,416,1902,5,28,161,222,261,1330,275,36,1974,13,35,5,54,432,178,1,71,581,0.0,45,41,49,0,1485,0,978,0.0,4,104.0,3526707.0,CONNECTICUT,2016
13,Total all ages,100280,3741,14845,62,222,1016,2441,1935,11971,842,97,17935,553,893,161,366,2063,1185,212,348,9349,19.0,1450,8533,225,8,11640,36,26714,0.0,4,,,CONNECTICUT,2016
14,Under 18,3704,348,712,5,12,119,212,137,537,34,4,1008,3,70,2,119,207,98,0,33,340,0.0,0,0,84,1,287,0,345,0.0,47,56.0,950787.0,DELAWARE,2016
15,Total all ages,33553,2224,7165,29,58,526,1611,1053,5964,122,26,6630,290,1769,198,468,886,388,89,128,4289,1.0,195,355,884,345,1312,332,5558,0.0,47,,,DELAWARE,2016
16,Under 18,671,83,47,0,0,58,25,0,44,3,0,75,0,0,0,14,20,35,0,0,19,0.0,0,0,0,0,39,0,338,0.0,1,2.0,0.0,WASHINGTON DC,2016
17,Total all ages,10271,161,132,1,2,94,64,0,122,10,0,360,1,9,0,22,43,83,0,5,328,0.0,2,11,1024,89,172,30,7798,0.0,1,,,WASHINGTON DC,2016
18,Under 18,57843,3861,17688,45,248,1541,2027,4817,10005,2810,56,8670,45,388,26,157,1166,801,7,293,5584,4.0,0,109,496,0,0,0,18548,0.0,0,668.0,20566240.0,FLORIDA,2016
19,Total all ages,726396,35807,102639,642,1747,6521,26897,18037,76139,8211,252,76450,2247,11954,1041,1774,6192,5152,2397,2728,114550,149.0,0,35042,14280,0,0,0,313994,0.0,0,,,FLORIDA,2016
20,Under 18,22646,1282,5599,60,42,514,666,1043,4145,382,29,3636,65,112,8,373,620,551,12,418,2402,7.0,133,89,326,20,2184,99,4380,0.0,330,402.0,8150300.0,GEORGIA,2016
21,Total all ages,238684,11105,32573,403,274,2018,8410,4506,26601,1328,138,22486,2379,3323,223,2819,3643,3141,455,2783,39593,76.0,2944,18939,4262,1442,14886,1574,69708,0.0,330,,,GEORGIA,2016
22,Under 18,3597,175,688,1,23,72,79,85,545,50,8,470,2,8,0,21,121,15,3,42,454,0.0,1,23,92,4,95,3,1201,7.0,172,4.0,1428557.0,HAWAII,2016
23,Total all ages,42301,1341,4426,35,154,294,858,636,3365,389,36,4621,140,265,32,130,570,297,159,218,2574,76.0,17,5929,575,4,1074,3,19671,7.0,172,,,HAWAII,2016
24,Under 18,5298,117,1028,0,23,8,86,163,788,57,20,668,1,33,1,30,247,77,0,60,730,0.0,40,61,324,30,237,0,1557,0.0,57,101.0,1324720.0,IDAHO,2016
25,Total all ages,46962,1279,4955,23,99,79,1078,808,3909,196,42,4270,111,252,40,243,761,306,11,209,8031,0.0,724,6195,1324,254,1458,10,16472,0.0,57,,,IDAHO,2016
26,Under 18,10186,1003,2964,45,35,665,258,301,1161,1489,13,1576,9,4,0,39,294,738,0,17,1343,44.0,6,7,32,0,877,0,1154,0.0,79,2.0,2872516.0,ILLINOIS,2016
27,Total all ages,67983,4030,12623,287,276,1631,1836,992,8060,3505,66,13371,128,183,0,87,2072,3234,187,302,12958,456.0,254,2929,165,0,3756,4,11165,0.0,79,,,ILLINOIS,2016
28,Under 18,12420,758,3074,12,19,298,429,317,2400,316,41,2161,18,68,3,83,447,255,2,105,1100,1.0,171,61,745,38,697,33,2374,8.0,218,204.0,4305899.0,INDIANA,2016
29,Total all ages,143554,7323,19954,160,193,1325,5645,2208,16014,1625,107,12547,1351,1670,204,547,1419,2386,309,776,18041,21.0,1042,13492,3665,4316,3517,81,50656,19.0,218,,,INDIANA,2016
30,Under 18,10671,558,2556,3,34,110,411,391,1978,152,35,1560,21,39,8,47,766,120,1,64,935,0.0,3,71,689,99,1211,0,1519,0.0,404,206.0,2810823.0,IOWA,2016
31,Total all ages,95962,4876,13033,55,154,396,4271,1585,10839,525,84,7790,584,752,79,177,2283,844,104,186,9550,5.0,1242,9836,3943,6983,4104,9,29178,0.0,404,,,IOWA,2016
32,Under 18,4081,170,910,6,25,33,106,84,738,69,19,643,5,10,8,47,226,54,1,42,668,0.0,8,58,408,0,204,0,619,0.0,0,228.0,1732223.0,KANSAS,2016
33,Total all ages,53823,1948,4899,50,126,205,1567,579,3907,363,50,7741,189,403,107,577,1458,541,56,138,7519,0.0,182,5923,2593,134,1558,0,17857,0.0,0,,,KANSAS,2016
34,Under 18,5639,402,1466,17,32,223,130,340,853,263,10,1039,20,13,7,464,184,95,0,33,501,0.0,5,66,26,57,230,0,1028,0.0,3,419.0,4424357.0,KENTUCKY,2016
35,Total all ages,210586,3487,18219,185,236,1122,1944,2994,14286,886,53,11703,1021,1003,441,2628,1132,891,252,297,23308,9.0,4547,16901,94,14259,4095,137,106159,0.0,3,,,KENTUCKY,2016
36,Under 18,19018,1328,4669,28,112,333,855,1211,3085,353,20,3061,10,38,4,372,600,452,11,172,1475,14.0,42,32,233,25,2537,51,3584,9.0,299,168.0,4183659.0,LOUISIANA,2016
37,Total all ages,191920,11372,32355,339,499,1646,8888,5422,25436,1388,109,23075,731,1473,172,2283,3739,3777,521,1355,27529,79.0,1538,7587,3596,3567,10435,250,56154,33.0,299,,,LOUISIANA,2016
38,Under 18,3160,45,814,1,13,7,24,136,604,57,17,442,10,11,2,11,232,14,1,30,383,0.0,0,28,459,4,105,0,561,0.0,8,195.0,1328762.0,MAINE,2016
39,Total all ages,43473,774,5668,16,61,139,558,681,4704,206,77,4719,229,552,66,90,1052,149,105,187,5430,1.0,122,5834,2218,17,1309,0,14943,0.0,8,,,MAINE,2016
40,Under 18,19506,1935,4862,11,74,1067,783,932,3169,620,141,4630,26,42,1,22,929,636,8,144,2167,19.0,10,60,512,8,873,23,2522,30.0,47,143.0,5197665.0,MARYLAND,2016
41,Total all ages,182631,9737,25715,270,403,3223,5841,4777,19083,1502,353,21522,582,896,115,144,2721,3181,584,687,30692,133.0,1972,17809,5398,14,4639,139,55773,131.0,47,,,MARYLAND,2016
42,Under 18,6939,849,1285,6,28,185,630,213,928,111,33,1485,20,29,3,153,415,158,1,47,228,0.0,33,46,291,38,394,0,1464,0.0,0,342.0,6436240.0,MASSACHUSETTS,2016
43,Total all ages,119180,9656,14973,58,303,1263,8032,2135,12140,618,80,19027,469,1263,136,1084,2692,1238,553,418,9770,14.0,1231,9008,2000,5600,4329,11,35706,2.0,0,,,MASSACHUSETTS,2016
44,Under 18,17629,1160,4802,14,117,276,753,715,3695,325,67,2601,32,208,30,249,548,348,4,150,2207,3.0,4,194,1371,4,666,0,2723,0.0,325,606.0,9696514.0,MICHIGAN,2016
45,Total all ages,255900,12163,26295,166,760,1467,9770,3284,21366,1412,233,27475,652,3909,1009,1645,2828,4128,528,687,38780,37.0,2799,27571,10690,367,6536,241,87235,0.0,325,,,MICHIGAN,2016
46,Under 18,19648,900,4993,6,101,359,434,426,4221,316,30,2120,17,147,8,285,895,392,2,147,1525,0.0,10,144,1795,0,2039,2,3280,0.0,947,365.0,5237709.0,MINNESOTA,2016
47,Total all ages,135455,5404,25116,103,565,1155,3581,2109,21652,1264,91,13688,985,2187,29,1684,3057,1786,344,1047,15397,12.0,507,19196,8054,1,8679,38,27297,0.0,947,,,MINNESOTA,2016
48,Under 18,3812,131,817,6,8,87,30,191,594,26,6,559,0,21,1,44,109,131,2,13,273,1.0,263,66,29,23,511,15,709,4.0,90,63.0,1383530.0,MISSISSIPPI,2016
49,Total all ages,76489,1588,8209,117,84,450,937,1309,6505,342,53,6680,378,980,395,670,751,1016,38,204,10414,63.0,2407,7160,983,3721,3790,41,26836,75.0,90,,,MISSISSIPPI,2016
50,Under 18,19416,966,4265,18,101,339,508,493,3439,270,63,3253,21,98,18,370,816,294,7,254,2452,3.0,45,182,877,16,1325,6,3333,0.0,815,375.0,5768437.0,MISSOURI,2016
51,Total all ages,240878,10223,34373,339,516,1926,7442,4153,27668,2344,208,23578,1351,2454,369,3195,4076,3706,415,1289,41674,75.0,2596,19729,5280,330,8158,1222,75970,0.0,815,,,MISSOURI,2016
52,Under 18,4263,78,859,0,9,8,61,83,704,56,16,504,2,12,2,4,245,6,0,38,360,0.0,271,42,454,0,467,0,619,0.0,300,100.0,1036405.0,MONTANA,2016
53,Total all ages,30550,1114,4883,14,48,69,983,326,4229,293,35,4092,112,258,32,62,952,112,3,126,2638,0.0,442,4392,1871,0,2878,21,6262,0.0,300,,,MONTANA,2016
54,Under 18,8921,168,2377,5,59,54,50,102,2133,115,27,1351,7,77,15,80,654,93,0,95,1304,0.0,27,109,682,0,427,0,1311,0.0,144,153.0,1721852.0,NEBRASKA,2016
55,Total all ages,68310,1912,10124,40,259,296,1317,582,9070,416,56,8242,274,1374,98,619,2210,1103,131,453,11878,0.0,1257,6948,4862,0,2714,16,13951,0.0,144,,,NEBRASKA,2016
56,Under 18,8441,1047,1408,5,52,372,618,264,995,137,12,1444,10,37,3,144,282,167,70,42,837,2.0,29,58,521,6,167,8,1682,5.0,472,51.0,2940058.0,NEVADA,2016
57,Total all ages,125932,8351,10450,166,257,1905,6023,2519,6978,900,53,14022,605,1635,331,1584,1482,1893,2892,714,13770,33.0,963,10660,3383,214,1292,1512,49669,5.0,472,,,NEVADA,2016
58,Under 18,3564,78,404,0,12,24,42,33,343,15,13,568,4,18,3,43,223,1,0,26,637,1.0,8,42,389,233,99,0,774,0.0,13,174.0,1275170.0,NEW HAMPSHIRE,2016
59,Total all ages,47282,874,3975,5,58,179,632,336,3499,114,26,5115,236,843,122,547,1178,171,91,128,8346,7.0,160,4874,2907,3683,954,65,12993,0.0,13,,,NEW HAMPSHIRE,2016
60,Under 18,17784,1409,2794,13,69,637,690,615,2029,88,62,1633,40,64,10,415,693,667,9,107,3574,31.0,37,129,778,0,1413,11,2574,0.0,1396,494.0,8747889.0,NEW JERSEY,2016
61,Total all ages,294972,10001,26736,198,396,3000,6407,4334,21723,499,180,22348,1047,3896,320,2693,3858,4054,849,963,61579,421.0,7426,22745,3044,0,12723,274,108599,0.0,1396,,,NEW JERSEY,2016
62,Under 18,4254,248,1070,9,8,20,211,79,813,54,124,681,2,15,7,55,154,66,1,16,512,0.0,14,62,163,19,178,0,986,1.0,4,57.0,1498550.0,NEW MEXICO,2016
63,Total all ages,77509,4007,10421,66,118,360,3463,918,8419,447,637,8482,237,631,214,1449,1214,576,36,83,6924,0.0,850,6178,1977,445,1602,247,31924,8.0,4,,,NEW MEXICO,2016
64,Under 18,20322,1692,5312,16,193,693,790,851,3998,392,71,2767,102,159,1,485,2075,395,16,296,3331,1.0,29,113,201,0,592,10,2745,0.0,0,544.0,10621114.0,NEW YORK,2016
65,Total all ages,271780,13238,49196,255,1091,3280,8612,5780,41354,1820,242,29532,2801,4419,62,3441,14798,3624,627,1970,65379,74.0,595,29238,1599,0,6355,565,44267,0.0,0,,,NEW YORK,2016
66,Under 18,16027,923,4413,26,14,504,379,1189,3003,178,43,3195,24,171,30,343,570,592,7,73,1227,0.0,34,201,457,0,1305,0,2447,0.0,15,235.0,6270620.0,NORTH CAROLINA,2016
67,Total all ages,231449,11607,36802,497,273,2610,8227,7909,27736,969,188,32067,1167,7337,983,2836,3989,4485,182,823,18247,43.0,4412,30380,2286,0,4497,12,69279,0.0,15,,,NORTH CAROLINA,2016
68,Under 18,3788,53,626,0,4,6,43,31,540,48,7,391,3,7,8,44,156,22,0,25,442,0.0,129,26,469,0,662,0,617,0.0,108,106.0,753138.0,NORTH DAKOTA,2016
69,Total all ages,34817,743,3563,14,45,76,608,281,2894,234,154,2789,124,351,59,320,506,340,20,89,5093,0.0,313,5725,2922,309,2202,6,9234,1.0,108,,,NORTH DAKOTA,2016
