State,Age,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2013
estimated 
population"
CONNECTICUT,Total all ages,95685,3562,15338,48,178,1117,2219,2065,12300,574,399,16691,574,1018,185,318,1936,1030,221,427,9137,14,1284,8207,377,6,10032,16,25301,0,11,,
DELAWARE,Under 18,4113,340,910,0,15,113,212,140,740,20,10,1076,2,54,0,52,175,77,0,40,486,0,2,1,160,9,301,0,376,0,52,46,923312
DELAWARE,Total all ages,37321,2175,7407,9,64,511,1591,991,6295,93,28,7224,386,1795,196,394,907,332,100,188,6250,3,267,325,1336,530,1782,571,5101,0,52,,
DISTRICT OF COLUMBIA6,Under 18,369,36,40,0,0,27,9,0,39,1,0,53,0,0,0,3,10,26,0,0,20,0,0,0,5,0,20,0,155,0,1,1,
DISTRICT OF COLUMBIA6,Total all ages,6154,108,99,0,0,77,31,0,94,5,0,235,10,2,1,8,28,67,3,0,323,0,0,10,860,66,57,33,4243,0,1,,
"FLORIDA5, 7",Under 18,72304,4663,20479,38,295,1674,2656,5750,13374,1284,71,10973,42,433,13,175,1363,808,28,184,7994,5,0,230,1061,0,0,0,23853,0,0,614,19487611
"FLORIDA5, 7",Total all ages,904135,40567,122990,662,1842,7940,30123,22822,94392,5452,324,82557,2527,13988,950,2794,6680,5088,3755,2663,126137,303,0,41994,25229,0,0,0,425913,0,0,,
GEORGIA,Under 18,32285,1510,8661,91,50,585,784,1828,6361,419,53,4636,69,241,8,441,571,613,25,461,2986,5,163,162,800,48,3771,63,6371,5,675,387,8998583
GEORGIA,Total all ages,323435,12146,49993,455,346,2714,8631,7258,40956,1579,200,31366,3790,5334,518,3355,3667,3392,1176,3564,44539,211,3634,25912,7649,2657,23724,1133,94916,84,675,,
HAWAII,Under 18,740,25,117,0,5,7,13,18,83,13,3,37,0,1,0,0,10,6,0,5,157,0,0,8,28,0,11,0,147,0,188,1,159652
HAWAII,Total all ages,9556,300,1350,1,19,57,223,225,972,144,9,569,10,5,0,0,80,112,6,40,1087,70,11,998,133,0,139,0,4458,0,188,,
IDAHO,Under 18,8633,153,1819,0,16,13,124,253,1454,76,36,821,6,22,2,33,325,119,1,74,911,0,8,89,760,112,298,0,2742,0,338,107,1606277
IDAHO,Total all ages,61668,1519,6690,19,86,107,1307,1026,5422,182,60,5200,169,373,52,250,981,437,14,266,7591,32,733,8109,3158,511,2006,9,23230,0,338,,
ILLINOIS8,Under 18,20391,2073,3825,40,0,1117,916,637,2298,880,10,2939,3,11,0,14,822,770,8,42,3984,369,6,13,133,0,2727,0,2490,0,162,2,2870763
ILLINOIS8,Total all ages,120760,6076,16792,363,9,2541,3163,1932,12315,2487,58,17566,188,202,1,72,3096,3438,1424,562,35001,2019,311,3868,614,0,11639,44,17685,0,162,,
INDIANA,Under 18,15960,806,4251,11,31,213,551,529,3390,287,45,3016,11,49,4,114,606,201,6,188,1100,0,70,68,1434,107,1124,18,2347,123,317,138,3817113
INDIANA,Total all ages,129146,6138,21723,158,167,1059,4754,2523,18047,1042,111,13541,755,1047,145,710,1464,1437,725,1057,12470,74,936,12295,7230,7454,4278,121,35090,139,317,,
IOWA,Under 18,12888,488,3820,2,27,85,374,470,3132,148,70,1692,14,35,9,37,720,143,2,68,982,0,3,97,966,162,1478,0,1766,0,406,198,2780814
IOWA,Total all ages,101402,4055,15466,32,102,348,3573,1790,13079,457,140,8602,566,724,72,244,2069,711,113,224,9182,4,1279,9825,5181,11256,5515,38,25870,0,406,,
KANSAS,Under 18,5784,186,1368,3,26,19,138,138,1156,57,17,932,4,21,19,38,319,47,4,63,815,0,10,83,627,4,252,0,992,0,0,238,2068879
KANSAS,Total all ages,78182,2145,7209,63,130,206,1746,867,5904,383,55,10665,370,940,202,380,2002,594,245,246,8130,3,250,9730,4660,355,2337,0,27719,0,0,,
KENTUCKY,Under 18,6364,339,2351,6,17,170,146,460,1723,84,84,1013,18,10,6,163,165,94,3,54,697,2,3,69,42,98,284,7,944,0,2,369,4315933
KENTUCKY,Total all ages,178212,3687,22506,129,187,1275,2096,3669,18060,607,170,11175,1051,1063,428,1902,1096,1007,298,418,21830,15,4891,21946,260,17041,4715,212,62669,0,2,,
LOUISIANA,Under 18,16666,1122,4274,11,65,179,867,854,3150,234,36,3337,14,18,1,148,502,266,14,129,1603,47,40,34,103,35,2168,47,2610,16,138,138,3114237
LOUISIANA,Total all ages,149789,8563,28322,205,263,954,7141,4353,23026,843,100,17955,659,1643,158,1273,2758,1815,529,760,20727,83,1077,6182,1650,3118,7929,417,43979,54,138,,
MAINE,Under 18,4492,76,1166,0,16,20,40,183,913,50,20,639,5,9,0,19,286,17,0,52,501,0,4,51,727,2,135,0,753,0,50,179,1326033
MAINE,Total all ages,49548,808,7749,17,82,177,532,1095,6358,250,46,5882,271,669,43,187,1255,304,49,222,5608,7,93,5826,3631,16,1663,7,15208,0,50,,
MARYLAND,Under 18,15429,1172,3797,10,24,617,521,771,2547,376,103,2910,26,29,4,9,586,309,2,88,2406,11,15,71,590,2,647,13,2517,16,209,146,3899502
MARYLAND,Total all ages,168692,6925,20773,166,207,2156,4396,4206,15382,926,259,18220,536,1041,191,95,2222,2384,759,578,34006,88,1828,14793,3265,80,3930,269,56212,288,209,,
MASSACHUSETTS,Under 18,9366,1028,1789,3,17,245,763,419,1265,65,40,1876,16,24,1,163,461,161,1,53,382,0,62,57,639,201,712,1,1733,6,0,318,6411005
MASSACHUSETTS,Total all ages,135362,10512,19719,50,270,1573,8619,3363,15672,560,124,21418,597,1490,133,1351,2864,1384,923,450,11206,15,1648,8381,3664,7256,6522,16,35755,58,0,,
MICHIGAN,Under 18,21241,1317,6003,8,87,453,769,980,4601,340,82,2980,18,257,16,202,619,410,5,160,2434,5,4,244,1957,12,754,0,3425,0,419,534,9198477
MICHIGAN,Total all ages,251825,11591,32025,247,627,2104,8613,4885,25344,1547,249,26452,603,4326,1010,1614,2831,4035,295,837,34128,71,3578,27643,12941,367,7326,269,79464,0,419,,
MINNESOTA,Under 18,25554,877,6154,7,91,344,435,449,5484,180,41,2585,26,136,4,351,1016,421,6,161,2693,2,11,203,2786,0,2604,23,3345,0,2150,326,5419634
MINNESOTA,Total all ages,158799,5636,28649,91,564,1196,3785,2638,24895,1015,101,14880,984,2145,25,1895,3213,1736,721,1201,19056,33,685,21206,14072,0,10832,323,29357,0,2150,,
MISSISSIPPI,Under 18,5549,131,1407,10,13,59,49,227,1122,50,8,754,2,34,1,49,103,95,3,13,424,6,248,51,72,39,870,3,1080,5,159,61,1289404
MISSISSIPPI,Total all ages,72824,1404,8978,95,86,325,898,1245,7394,263,76,7220,374,954,437,480,673,705,149,187,8037,81,2684,7764,864,4197,4606,140,22602,129,159,,
MISSOURI,Under 18,23652,1002,5802,14,99,369,520,734,4764,240,64,3732,26,45,13,297,1011,349,5,366,2583,2,52,202,1412,25,1663,5,3934,0,1126,368,5567717
MISSOURI,Total all ages,276973,9234,40261,238,232,1938,6826,5119,33284,1659,199,26760,1554,2601,299,2488,4637,3050,222,1509,35131,192,3156,23950,8090,586,11253,400,100474,0,1126,,
MONTANA,Under 18,5152,61,1165,0,3,2,56,86,1026,47,6,469,2,9,3,5,281,16,0,15,359,0,56,69,868,0,531,0,753,0,490,91,970435
MONTANA,Total all ages,30089,837,4785,15,36,63,723,311,4251,209,14,3461,64,207,38,33,921,86,7,79,1958,0,288,4300,2876,0,3272,24,6363,0,490,,
NEBRASKA,Under 18,9858,167,2477,0,20,59,88,175,2195,68,39,1481,9,68,9,123,652,100,0,121,1224,0,12,126,1072,0,631,2,1447,0,137,198,1659743
NEBRASKA,Total all ages,69957,1912,9981,42,156,270,1444,753,8839,325,64,7233,385,1348,82,639,2103,956,164,502,10366,6,1248,9193,7177,0,2724,52,13749,0,137,,
NEVADA,Under 18,10509,610,2170,4,29,160,417,386,1640,114,30,1688,0,29,5,100,478,141,103,64,922,4,31,50,1013,67,206,5,1959,0,864,31,2543547
NEVADA,Total all ages,122498,6200,13930,117,202,1517,4364,2668,10380,744,138,13946,727,1416,393,1358,1586,1560,3550,1080,11207,10,925,8841,5968,175,1495,2073,45192,2,864,,
NEW HAMPSHIRE,Under 18,4736,92,671,0,7,29,56,69,579,11,12,807,9,22,4,76,317,7,0,45,558,3,1,36,604,212,178,0,1077,0,17,148,1174048
NEW HAMPSHIRE,Total all ages,44554,871,5222,8,52,241,570,470,4637,85,30,5476,282,899,47,736,1242,96,48,164,4270,18,175,3700,3410,3263,1191,72,13355,0,17,,
NEW JERSEY,Under 18,21459,1748,3723,16,40,920,772,780,2728,122,93,2068,29,67,6,460,850,661,18,224,4022,32,108,153,1053,0,1868,25,3344,0,1000,482,8585551
NEW JERSEY,Total all ages,302955,10871,31093,232,289,3557,6793,5566,24643,666,218,22231,1255,2956,271,3073,3980,3969,1147,1180,50775,143,11168,23765,3753,0,13653,233,116439,0,1000,,
NEW MEXICO,Under 18,4951,223,1806,16,12,10,185,156,1448,32,170,603,2,12,5,36,145,63,4,22,566,2,18,34,203,1,134,0,1072,0,0,50,1349565
NEW MEXICO,Total all ages,65526,3149,10782,71,93,226,2759,1182,8740,217,643,6807,176,366,165,676,891,402,265,119,4773,7,782,6352,2404,79,1762,0,25569,0,0,,
NEW YORK5,Under 18,26195,1817,7370,32,43,867,875,1352,5562,343,113,3719,57,229,5,568,2479,406,22,390,3805,16,36,170,502,0,1126,11,3467,0,0,435,10496474
NEW YORK5,Total all ages,300442,12902,59628,254,354,3605,8689,7872,49635,1794,327,34392,2952,5444,90,4661,15131,3248,1158,2191,61633,117,342,29977,2893,0,9750,798,53135,0,0,,
NORTH CAROLINA,Under 18,28760,1487,7729,39,48,597,803,2028,5468,145,88,5476,30,298,16,402,1101,1044,14,145,2435,2,60,318,962,0,2613,0,4628,0,0,306,8759566
NORTH CAROLINA,Total all ages,395015,17148,62371,567,411,3876,12294,14163,46754,1137,317,48870,2114,13751,1291,3933,6579,6120,715,1394,35470,197,7462,41247,7877,0,10608,269,127599,0,0,,
NORTH DAKOTA,Under 18,4003,38,672,0,7,2,29,50,579,34,9,386,1,11,7,32,159,17,0,26,346,0,53,38,661,2,655,0,811,0,88,98,714526
NORTH DAKOTA,Total all ages,30642,585,2947,8,32,44,501,218,2556,157,16,2376,77,377,36,141,453,333,43,77,3345,2,133,7077,3985,338,1848,6,6375,0,88,,
OHIO,Under 18,23051,878,4801,6,48,458,366,776,3736,183,106,4732,15,123,3,426,1058,306,6,176,1742,0,161,94,904,15,1567,20,5529,3,492,416,8369913
OHIO,Total all ages,224248,6589,35489,134,368,2191,3896,4972,29585,705,227,30773,1141,2376,39,3072,3684,2781,1710,680,28612,16,1532,33808,7208,1722,13498,35,48940,51,492,,
OKLAHOMA,Under 18,11971,460,3438,11,24,133,292,505,2742,93,98,958,4,45,31,258,286,188,5,29,1295,0,74,108,210,438,675,0,2230,0,1239,319,3707079
OKLAHOMA,Total all ages,125534,4908,18620,156,207,658,3887,2361,15517,517,225,8319,612,1666,436,2571,1241,2148,320,498,16946,11,666,13244,1590,16713,2419,6,31361,0,1239,,
OREGON,Under 18,7042,151,1613,0,6,28,117,158,1327,73,55,718,2,34,0,35,609,62,0,60,1128,0,5,35,879,0,323,0,997,0,391,106,1451298
OREGON,Total all ages,54323,1648,9446,29,53,288,1278,960,7816,567,103,4843,330,901,19,290,2080,847,49,338,10009,0,252,6699,3452,0,3282,1,9446,0,391,,
PENNSYLVANIA,Under 18,61442,3414,8045,17,242,1175,1980,1262,6255,381,147,5845,55,168,26,283,2216,1151,24,481,4076,7,35,380,3691,232,9731,49,4390,0,17143,1148,11907015
PENNSYLVANIA,Total all ages,413486,22113,61049,460,1152,5873,14628,9280,48997,2328,444,43137,2509,6765,441,2441,8089,4153,1995,2304,54452,100,1717,45744,15432,22919,44251,505,56227,0,17143,,
RHODE ISLAND,Under 18,3083,108,623,0,12,42,54,130,455,22,16,502,0,17,1,37,205,89,0,26,168,0,66,16,56,1,597,0,546,0,25,48,1051511
RHODE ISLAND,Total all ages,30598,848,3590,10,72,188,578,707,2707,132,44,3988,120,497,101,372,953,342,66,114,2240,1,102,2576,645,38,2767,1,11212,0,25,,
SOUTH CAROLINA,Under 18,15418,656,4277,33,62,187,374,729,3413,103,32,2468,11,69,3,184,507,437,6,87,2079,0,17,99,532,74,2139,0,1749,0,24,261,4599031
SOUTH CAROLINA,Total all ages,181016,7607,30727,295,347,1320,5645,4460,25399,726,142,19673,1508,4692,364,2251,3018,2033,473,453,28838,102,1480,18919,7855,9519,14052,581,26847,0,24,,
SOUTH DAKOTA,Under 18,4868,66,892,1,2,1,62,93,733,55,11,400,0,42,5,32,181,43,1,17,813,0,123,80,1058,3,243,0,702,0,167,112,777314
SOUTH DAKOTA,Total all ages,35061,780,3301,12,33,35,700,357,2763,161,20,3542,95,649,29,102,517,179,67,69,5382,7,329,6328,4242,85,2038,290,6863,0,167,,
TENNESSEE,Under 18,28585,1705,5878,13,80,433,1179,1060,4510,265,43,5087,54,137,8,61,1246,499,4,163,2780,52,57,118,782,237,2476,0,5371,0,1870,454,6413655
TENNESSEE,Total all ages,371938,17896,45903,361,353,2189,14993,6715,37063,1927,198,32477,1940,7165,727,701,4399,3351,1507,799,46923,344,3146,26276,7191,17612,9598,26,142087,0,1870,,
TEXAS,Under 18,85922,3491,20849,30,194,1217,2050,3362,16599,727,161,12809,89,274,21,105,2547,717,89,639,12304,15,91,456,2690,1583,7322,134,15610,0,4087,889,25561086
TEXAS,Total all ages,931814,29631,128617,648,1572,6642,20769,15671,108288,4167,491,99345,5302,9102,439,840,9678,10042,6597,3799,133711,402,5003,78352,17120,92767,20602,906,275472,0,4087,,
UTAH,Under 18,17991,257,4062,1,46,50,160,241,3684,100,37,1531,13,58,3,142,974,220,8,347,1716,0,19,85,1168,137,1303,29,4983,0,936,124,2782447
UTAH,Total all ages,131389,2064,18253,33,164,371,1496,1103,16721,365,64,10317,729,977,26,1068,3161,1114,177,850,13377,3,1423,9038,6930,4076,4361,55,52454,0,936,,
VERMONT,Under 18,779,34,144,0,8,4,22,21,99,16,8,143,1,2,0,9,64,12,0,1,67,0,5,16,84,2,66,0,129,0,0,67,577603
VERMONT,Total all ages,13418,510,1989,6,59,31,414,286,1614,60,29,1462,58,271,50,177,328,22,9,37,1250,0,252,2476,243,3,743,0,3538,0,0,,
VIRGINIA,Under 18,21995,604,4490,10,32,279,283,651,3642,123,74,3622,35,133,16,129,840,301,3,203,2537,2,45,104,1316,159,769,0,5230,0,1457,355,8250187
VIRGINIA,Total all ages,321040,6858,37223,331,326,1754,4447,4074,32079,867,203,35706,1990,6151,1520,978,4255,3501,862,1031,39536,58,2628,25813,10353,28325,4536,186,108073,0,1457,,
WASHINGTON,Under 18,16939,903,5049,8,80,304,511,798,4006,197,48,3349,12,20,2,220,1087,264,6,149,1881,0,19,190,1324,3,303,11,2140,0,7,228,5937459
WASHINGTON,Total all ages,189806,7699,36129,121,436,1868,5274,5231,29491,1232,175,25754,1005,931,78,3139,5645,1855,399,602,11346,0,448,29153,4586,30,3533,134,57333,0,7,,
WEST VIRGINIA,Under 18,1463,54,346,2,5,6,41,41,296,6,3,211,0,10,1,6,60,18,1,14,162,0,0,21,99,6,26,0,392,0,36,252,1587813
WEST VIRGINIA,Total all ages,49225,1834,6900,29,58,171,1576,878,5816,174,32,5502,319,704,145,357,721,354,117,154,6651,5,83,5960,1758,2440,885,11,14289,0,36,,
WISCONSIN,Under 18,55187,1344,8546,6,167,528,643,975,7164,325,82,2930,26,173,14,427,1846,726,23,885,3495,20,127,295,4164,0,10344,57,16211,0,3534,382,5621676
WISCONSIN,Total all ages,305446,8002,36871,146,619,1687,5550,3816,31782,1064,209,17569,1006,3789,259,1503,7115,3708,495,2371,25582,93,2445,26562,20590,3,43614,2080,98255,0,3534,,
WYOMING,Under 18,3798,35,716,2,9,2,22,37,648,27,4,390,1,13,0,9,165,27,2,18,476,0,6,49,581,20,143,25,852,1,269,59,551885
WYOMING,Total all ages,31636,529,3052,13,37,24,455,231,2684,107,30,2728,58,200,8,64,560,91,32,139,3527,0,203,3893,2703,2523,1026,54,9938,39,269,,
