State,Age,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2015
estimated 
population"
COLORADO,Under 18,"24,566",636,"5,446",9,78,137,412,481,"4,458",445,62,"1,766",7,94,9,34,931,313,2,112,"2,959",0,44,257,"1,721",79,"2,176",0,"6,676",0,"1,304",195,"5,105,425"
COLORADO,Total all ages,"226,807","6,242","31,067",165,460,"1,005","4,612","2,381","26,358","2,150",178,"17,321",559,"2,083",99,421,"5,309","2,219",641,484,"14,430",1,"3,185","25,562","11,072",432,"8,875",321,"95,180",0,"1,304",,
CONNECTICUT,Under 18,"7,098",360,"1,666",1,19,151,189,271,"1,205",159,31,"1,845",16,21,3,42,343,156,1,84,493,0,14,36,55,0,"1,107",0,856,0,0,100,"3,301,351"
CONNECTICUT,Total all ages,"85,327","3,116","14,016",85,179,983,"1,869","1,776","11,594",574,72,"15,341",531,786,158,223,"1,473",924,224,394,"7,635",12,"1,186","8,148",212,8,"8,159",29,"22,752",0,0,,
DELAWARE,Under 18,"3,906",383,818,1,12,113,257,175,599,26,18,"1,036",6,55,3,75,214,86,0,23,380,0,3,2,107,4,280,0,370,0,61,60,"945,934"
DELAWARE,Total all ages,"34,687","2,219","7,328",42,76,496,"1,605",997,"6,195",104,32,"6,744",310,"1,705",214,386,860,332,100,117,"5,734",0,198,386,891,365,"1,235",419,"5,083",0,61,,
DISTRICT OF COLUMBIA6,Under 18,417,67,43,0,0,50,17,0,42,1,0,50,0,0,0,6,10,22,0,0,13,0,0,0,1,0,20,0,185,0,0,1,0
DISTRICT OF COLUMBIA6,Total all ages,"7,218",124,94,0,0,87,37,0,88,6,0,273,1,0,4,13,31,67,0,0,232,0,0,8,741,67,111,79,"5,373",0,0,,
"FLORIDA5, 7",Under 18,"62,148","4,256","18,745",52,258,"1,544","2,402","5,089","11,278","2,307",71,"9,558",36,365,20,185,"1,258",849,15,203,"6,334",9,0,88,589,0,0,0,"19,638",0,0,673,"20,222,616"
"FLORIDA5, 7",Total all ages,"772,956","38,453","115,264",671,"1,800","7,191","28,791","18,919","88,770","7,290",285,"80,726","2,345","11,880","1,024","1,980","6,566","4,877","2,706","2,243","114,988",157,0,"31,783","17,431",0,0,0,"340,533",0,0,,
GEORGIA,Under 18,"22,701","1,036","6,065",22,21,393,600,"1,225","4,481",328,31,"3,297",36,191,10,323,519,465,14,416,"2,128",4,194,117,432,37,"1,896",168,"4,920",7,426,378,"7,765,684"
GEORGIA,Total all ages,"231,108","8,537","35,014",306,211,"1,756","6,264","4,667","29,109","1,113",125,"22,124","2,581","4,246",285,"2,310","2,789","2,655",531,"2,199","34,837",143,"2,885","19,217","3,067","1,757","12,086",851,"72,555",13,426,,
HAWAII,Under 18,"3,321",173,859,0,24,89,60,82,732,38,7,419,2,9,1,16,112,25,6,48,313,0,0,31,80,0,62,0,"1,002",0,163,2,"1,164,233"
HAWAII,Total all ages,"37,603","1,261","4,353",24,145,367,725,512,"3,342",469,30,"3,935",112,272,34,128,467,190,125,195,"2,160",43,23,"5,250",590,0,821,0,"17,481",0,163,,
IDAHO,Under 18,"7,396",151,"1,557",0,18,8,125,249,"1,198",71,39,721,1,31,3,55,332,87,0,57,814,0,49,49,560,34,326,0,"2,380",0,189,102,"1,515,358"
IDAHO,Total all ages,"52,162","1,447","6,002",14,112,102,"1,219",927,"4,807",208,60,"4,667",105,352,47,275,909,320,18,222,"6,541",0,783,"5,844","1,883",240,"1,497",10,"20,811",0,189,,
ILLINOIS8,Under 18,"13,627","1,118","3,324",32,23,777,286,474,"1,515","1,328",7,"1,834",9,14,0,34,403,795,0,34,"2,563",119,14,16,39,0,"1,584",0,"1,598",0,129,2,"2,876,873"
ILLINOIS8,Total all ages,"91,218","4,102","13,237",272,280,"1,728","1,822","1,321","8,866","2,986",64,"15,005",175,226,0,76,"2,343","3,491",309,414,"24,101",914,287,"3,659",292,0,"6,763",14,"15,681",0,129,,
INDIANA,Under 18,"14,282",755,"3,503",16,28,277,434,383,"2,820",271,29,"2,426",17,69,6,89,421,221,2,146,"1,116",7,319,69,"1,065",63,838,15,"2,717",82,336,236,"4,703,413"
INDIANA,Total all ages,"150,628","7,327","21,625",200,183,"1,192","5,752","2,245","17,903","1,394",83,"12,774",891,"1,569",143,566,"1,338","2,069",431,886,"16,526",13,"1,257","14,428","5,484","4,366","3,619",164,"54,680",136,336,,
IOWA,Under 18,"10,662",545,"3,155",6,29,85,425,407,"2,569",142,37,"1,374",19,42,11,35,651,112,2,42,813,0,6,74,550,99,"1,170",0,"1,593",0,369,180,"2,502,758"
IOWA,Total all ages,"89,891","4,512","14,137",43,136,362,"3,971","1,585","11,998",449,105,"6,897",552,653,82,178,"1,931",705,116,167,"8,114",6,879,"9,028","3,733","7,639","4,137",6,"26,050",0,369,,
KANSAS,Under 18,"4,959",192,"1,278",1,25,45,121,166,"1,021",76,15,726,1,23,14,22,270,43,1,52,708,0,14,71,462,1,267,0,814,0,0,222,"1,883,819"
KANSAS,Total all ages,"62,188","1,991","6,167",53,140,221,"1,577",721,"5,046",347,53,"8,547",224,582,159,367,"1,624",425,75,172,"7,756",0,261,"7,186","3,225",207,"1,954",0,"21,266",0,0,,
KENTUCKY,Under 18,"6,232",336,"1,881",9,28,187,112,443,"1,236",185,17,"1,121",8,15,8,334,193,101,0,45,615,8,3,41,13,57,267,0,"1,185",0,1,389,"4,381,885"
KENTUCKY,Total all ages,"195,415","3,484","20,873",159,238,"1,136","1,951","3,169","16,949",681,74,"11,508",986,"1,135",467,"2,125","1,059",872,275,375,"22,106",15,"4,375","17,825",127,"15,061","4,453",145,"88,148",0,1,,
LOUISIANA,Under 18,"10,775",558,"2,514",10,50,120,378,557,"1,749",190,18,"1,746",1,10,1,133,339,226,3,68,"1,022",4,41,30,184,17,"1,706",0,"2,051",4,117,121,"2,467,765"
LOUISIANA,Total all ages,"111,454","4,813","18,898",151,231,645,"3,786","2,919","15,168",741,70,"12,438",390,854,20,"1,114","1,569","1,763",130,507,"17,686",35,886,"5,339","2,723","2,204","5,350",177,"34,411",30,117,,
MAINE,Under 18,"3,477",54,857,2,9,7,36,145,656,47,9,482,1,10,4,5,200,11,3,36,444,0,1,40,585,3,106,0,620,0,15,181,"1,327,104"
MAINE,Total all ages,"45,230",800,"6,480",21,59,182,538,854,"5,361",236,29,"4,918",252,563,46,109,"1,005",228,81,184,"5,947",8,67,"5,756","2,724",12,"1,317",4,"14,713",1,15,,
MARYLAND,Under 18,"15,175","1,427","3,951",18,56,738,615,848,"2,532",469,102,"3,347",17,13,7,6,701,467,8,92,"1,607",40,16,69,416,0,725,9,"2,105",16,136,145,"4,545,345"
MARYLAND,Total all ages,"159,178","8,244","22,032",257,336,"2,698","4,953","4,286","16,408","1,098",240,"17,681",486,817,193,110,"2,227","2,716",615,692,"26,154",166,"1,364","17,100","4,985",21,"4,475",63,"48,711",190,136,,
MASSACHUSETTS,Under 18,"7,281",886,"1,323",3,15,200,668,251,972,84,16,"1,534",17,27,2,170,426,172,3,35,203,0,27,45,362,50,432,0,"1,552",15,0,321,"6,194,224"
MASSACHUSETTS,Total all ages,"116,347","9,841","15,577",52,270,"1,200","8,319","2,296","12,664",564,53,"17,854",489,"1,186",127,"1,058","2,528","1,300",508,432,"9,761",24,"1,175","8,258","2,137","5,678","4,349",15,"33,952",98,0,,
MICHIGAN,Under 18,"17,223","1,151","4,677",17,89,286,759,647,"3,710",251,69,"2,464",18,234,23,232,507,303,6,106,"2,047",9,9,211,"1,509",6,652,0,"2,681",0,378,592,"9,275,519"
MICHIGAN,Total all ages,"240,942","10,836","25,150",242,622,"1,516","8,456","3,028","20,815","1,092",215,"25,217",519,"3,671",856,"1,453","2,386","3,289",607,532,"34,716",72,"4,047","26,845","10,767",426,"6,402",218,"82,538",17,378,,
MINNESOTA,Under 18,"21,941",992,"5,224",4,124,377,487,394,"4,538",241,51,"2,279",15,167,17,283,"1,057",415,2,180,"1,855",1,16,165,"2,082",0,"2,324",37,"3,465",0,"1,365",377,"5,267,955"
MINNESOTA,Total all ages,"148,307","5,792","26,814",119,670,"1,197","3,806","2,155","23,406","1,135",118,"14,022",973,"2,699",40,"1,688","3,203","1,867",558,"1,083","17,342",29,805,"20,830","9,671",99,"10,090",445,"28,886",6,"1,365",,
MISSISSIPPI,Under 18,"3,654",63,927,5,10,30,18,186,697,37,7,506,5,19,1,36,64,97,1,11,268,7,191,48,43,38,511,0,733,2,83,64,"1,201,051"
MISSISSIPPI,Total all ages,"71,916","1,271","8,453",103,85,324,759,"1,253","6,850",309,41,"5,784",341,"1,021",387,637,651,875,35,162,"9,010",95,"2,493","6,889","1,182","3,803","3,777",46,"24,821",100,83,,
MISSOURI,Under 18,"19,941",974,"4,729",17,113,286,558,597,"3,807",297,28,"3,289",15,76,21,398,960,286,14,343,"2,241",5,50,154,889,7,"1,356",5,"3,260",0,869,347,"5,365,025"
MISSOURI,Total all ages,"222,609","9,682","34,559",253,538,"1,893","6,998","4,179","28,339","1,899",142,"22,871","1,270","2,238",323,"2,840","4,052","2,936",400,"1,218","34,052",73,"2,417","19,449","5,491",318,"8,042",955,"68,554",0,869,,
MONTANA,Under 18,"3,693",75,795,0,7,4,64,42,676,64,13,376,1,8,4,1,224,9,0,17,253,0,63,41,491,0,389,0,578,0,368,94,"892,390"
MONTANA,Total all ages,"25,687",907,"4,038",7,50,44,806,212,"3,582",219,25,"3,412",84,223,53,23,792,75,6,79,"1,961",2,225,"3,674","1,690",0,"2,585",8,"5,482",0,368,,
NEBRASKA,Under 18,"6,290",79,"1,404",1,5,26,47,111,"1,210",59,24,"1,001",6,35,4,70,419,51,2,62,"1,023",0,4,72,674,0,307,0,948,0,129,146,"1,172,029"
NEBRASKA,Total all ages,"45,859","1,170","5,932",9,106,124,931,395,"5,241",248,48,"4,875",179,829,28,281,"1,288",617,49,253,"8,589",0,810,"5,348","4,058",0,"1,786",14,"9,624",0,129,,
NEVADA,Under 18,"9,379",953,"2,033",7,58,298,590,426,"1,456",125,26,"1,593",5,21,5,140,353,126,69,41,854,3,31,35,646,31,141,9,"1,685",2,603,45,"2,890,845"
NEVADA,Total all ages,"115,675","8,337","12,475",131,340,"1,996","5,870","2,677","8,936",805,57,"13,976",619,"1,639",338,"1,523","1,472","1,460","3,308",797,"11,594",35,902,"7,612","3,680",190,"1,250","1,753","42,108",4,603,,
NEW HAMPSHIRE,Under 18,"3,421",59,441,1,5,11,42,44,374,18,5,575,2,8,3,54,163,7,0,21,579,0,4,36,434,156,124,0,741,0,14,163,"1,223,429"
NEW HAMPSHIRE,Total all ages,"44,368",772,"4,355",9,57,169,537,378,"3,863",96,18,"4,800",244,822,124,543,927,138,59,123,"7,371",6,123,"4,746","3,139","3,302",943,55,"11,762",0,14,,
NEW JERSEY,Under 18,"16,348","1,298","2,887",19,47,610,622,573,"2,130",108,76,"1,566",28,70,8,383,802,621,15,136,"3,127",29,64,170,758,0,"1,309",21,"2,594",0,462,473,"8,116,733"
NEW JERSEY,Total all ages,"264,250","8,697","26,181",154,338,"2,650","5,555","4,069","21,342",617,153,"19,819","1,004","3,498",283,"2,089","3,530","3,268",623,902,"46,376",338,"8,344","22,201","3,580",0,"11,395",397,"101,263",0,462,,
NEW MEXICO,Under 18,"5,179",242,"1,255",7,14,10,211,129,997,44,85,787,2,16,6,44,160,79,2,18,675,0,49,67,254,26,297,2,"1,192",2,4,71,"1,577,658"
NEW MEXICO,Total all ages,"87,310","3,984","10,496",70,107,365,"3,442","1,045","8,758",365,328,"8,696",248,524,158,"1,051","1,137",529,62,117,"7,188",1,"1,456","8,542","2,509","2,541","2,543",99,"35,386",39,4,,
NEW YORK5,Under 18,"21,248","1,765","5,985",10,226,760,769,"1,071","4,444",389,81,"2,887",55,198,2,479,"2,069",418,11,298,"3,295",7,22,109,357,0,697,12,"2,582",0,0,531,"10,479,132"
NEW YORK5,Total all ages,"271,540","13,418","51,569",262,"1,121","3,574","8,461","6,223","43,300","1,770",276,"30,295","2,655","4,760",72,"3,558","14,382","3,436",847,"1,893","62,035",77,582,"28,988","1,634",0,"6,471",713,"44,155",0,0,,
NORTH CAROLINA,Under 18,"19,724","1,207","5,815",45,29,550,583,"1,454","4,134",173,54,"3,575",29,185,19,398,937,661,6,92,"1,288",1,50,242,507,0,"1,589",0,"3,103",0,20,247,"6,955,485"
NORTH CAROLINA,Total all ages,"278,625","13,275","46,827",430,294,"3,002","9,549","9,144","36,598",867,218,"37,505","1,418","8,564","1,130","3,344","5,022","4,981",420,968,"21,487",99,"4,613","35,967","3,309",0,"6,878",5,"82,793",0,20,,
NORTH DAKOTA,Under 18,"3,659",58,646,0,7,8,43,47,558,36,5,360,2,13,2,23,129,24,1,24,385,0,122,44,460,20,653,0,607,0,86,106,"744,362"
NORTH DAKOTA,Total all ages,"32,565",682,"3,420",19,41,44,578,282,"2,908",211,19,"2,650",110,299,37,273,454,406,47,114,"4,475",3,287,"6,351","3,077",867,"1,927",1,"6,995",4,86,,
OHIO,Under 18,"22,220",657,"4,416",6,64,292,295,661,"3,496",193,66,"4,231",18,119,1,464,963,288,8,153,"1,612",6,212,57,731,24,"1,658",0,"6,011",3,588,435,"8,279,228"
OHIO,Total all ages,"226,325","5,361","34,444",136,361,"1,656","3,208","3,670","29,967",654,153,"27,155",999,"2,157",21,"3,006","3,289","2,893","1,132",595,"32,827",27,"1,674","34,254","6,207","1,608","14,714",73,"53,294",7,588,,
OKLAHOMA,Under 18,"10,129",447,"2,847",13,29,129,276,403,"2,300",117,27,956,10,40,41,264,312,200,0,40,"1,296",8,48,93,154,288,712,0,"1,369",0,"1,004",291,"3,573,369"
OKLAHOMA,Total all ages,"110,974","4,770","18,127",179,230,700,"3,661","2,065","15,364",555,143,"8,323",587,"1,642",487,"2,348","1,280","2,139",8,427,"17,771",12,633,"11,101","1,459","13,759","2,264",40,"22,691",102,"1,004",,
OREGON,Under 18,"8,164",225,"1,852",1,19,44,161,181,"1,508",97,66,904,1,46,0,9,615,59,1,72,"1,468",0,3,70,860,0,485,0,"1,044",0,450,163,"1,919,401"
OREGON,Total all ages,"76,969","2,310","13,709",35,117,377,"1,781","1,236","11,448",875,150,"6,538",327,"1,227",30,415,"2,525","1,181",56,428,"11,152",0,320,"9,019","5,099",0,"4,849",1,"17,333",0,450,,
PENNSYLVANIA,Under 18,"48,337","2,747","6,289",34,221,971,"1,521",940,"4,697",472,180,"5,082",53,480,28,310,"1,890",860,7,506,"3,228",2,37,316,"2,588",210,"7,928",51,"3,679",0,"12,046","1,203","11,980,252"
PENNSYLVANIA,Total all ages,"377,078","18,944","55,827",466,"1,052","5,043","12,383","6,859","46,249","2,266",453,"41,594","2,374","8,003",424,"2,289","7,209","4,262","1,752","2,251","52,281",64,"1,748","44,615","11,117","20,659","37,017",368,"52,234",0,"12,046",,
RHODE ISLAND,Under 18,"2,373",94,433,0,19,26,49,88,307,26,12,421,1,7,10,51,181,88,0,12,81,0,35,9,54,0,475,0,408,0,13,49,"1,056,298"
RHODE ISLAND,Total all ages,"27,171",882,"2,746",17,93,162,610,488,"2,112",117,29,"3,918",102,436,92,311,986,394,98,87,"1,757",5,75,"2,591",588,12,"2,417",0,"9,661",0,13,,
SOUTH CAROLINA,Under 18,"12,374",497,"3,361",23,43,166,265,483,"2,754",97,27,"2,010",8,55,7,165,522,334,10,42,"1,757",6,7,90,396,68,"1,434",0,"1,582",0,23,415,"4,085,854"
SOUTH CAROLINA,Total all ages,"151,136","6,061","24,120",248,295,"1,009","4,509","3,066","20,228",721,105,"16,051","1,182","3,079",363,"1,754","2,678","1,752",561,298,"25,666",122,"1,189","16,272","6,216","7,721","9,044",504,"26,480",0,23,,
SOUTH DAKOTA,Under 18,"4,982",61,856,1,8,9,43,85,696,64,11,485,2,59,7,27,160,31,0,15,948,0,135,88,835,12,400,1,737,0,123,117,"790,395"
SOUTH DAKOTA,Total all ages,"48,048","1,190","3,638",17,52,67,"1,054",283,"3,118",210,27,"4,222",70,725,34,111,516,210,50,64,"7,058",1,500,"7,305","3,757","4,833","2,895",430,"10,316",0,123,,
TENNESSEE,Under 18,"24,113","1,596","4,807",39,73,381,"1,103",813,"3,630",326,38,"4,240",57,130,17,75,"1,312",426,0,121,"2,294",32,56,112,633,180,"1,990",0,"4,349",0,"1,686",423,"6,339,882"
TENNESSEE,Total all ages,"335,281","16,399","42,241",311,340,"1,906","13,842","5,286","34,613","2,213",129,"29,779","1,833","6,065",801,797,"4,843","2,472","1,272",654,"38,486",143,"3,829","23,150","5,577","15,927","7,184",10,"132,133",0,"1,686",,
TEXAS,Under 18,"68,279","3,743","18,754",52,312,"1,471","1,908","2,953","14,535","1,135",131,"11,751",107,242,42,176,"2,035",726,62,467,"10,177",25,121,384,"1,436","1,112","1,906",217,"12,093",0,"2,703",965,"26,993,502"
TEXAS,Total all ages,"808,119","31,493","117,371",749,"2,095","6,956","21,693","12,895","98,494","5,528",454,"95,433","4,844","6,818",659,952,"8,480","10,861","4,987","3,244","131,851",669,"4,845","64,971","9,720","68,148","9,905",800,"229,365",0,"2,703",,
UTAH,Under 18,"14,984",273,"3,463",2,72,51,148,201,"3,120",117,25,"1,385",15,48,4,97,839,233,11,265,"1,671",0,68,157,787,82,932,6,"3,833",2,813,117,"2,832,325"
UTAH,Total all ages,"115,453","2,418","19,416",29,244,439,"1,706","1,153","17,745",450,68,"9,857",722,"1,051",34,"1,081","2,857","1,137",190,740,"14,913",1,"1,414","8,813","4,431","3,182","3,459",39,"38,792",93,813,,
VERMONT,Under 18,614,36,104,0,12,3,21,14,80,6,4,118,1,3,3,6,64,8,0,7,29,0,2,8,40,0,92,0,93,0,0,72,"583,567"
VERMONT,Total all ages,"11,183",472,"1,402",7,40,35,390,189,"1,176",29,8,"1,202",37,184,60,96,275,17,4,25,610,0,145,"2,144",103,1,703,0,"3,703",0,0,,
VIRGINIA,Under 18,"17,151",603,"3,574",10,53,267,273,475,"2,922",134,43,"2,923",29,100,32,114,701,281,3,115,"1,972",1,27,100,761,142,618,0,"4,122",0,933,397,"7,925,463"
VIRGINIA,Total all ages,"268,167","6,247","31,971",289,448,"1,392","4,118","2,833","28,164",810,164,"31,504","1,642","5,079","1,371",784,"3,746","3,160",685,674,"33,558",23,"1,969","20,477","5,340","21,338","3,106",215,"94,345",0,933,,
WASHINGTON,Under 18,"14,882",893,"4,198",11,70,319,493,697,"3,171",276,54,"3,188",14,17,1,223,952,282,3,119,"1,369",0,17,151,988,5,241,5,"2,209",2,5,229,"6,543,817"
WASHINGTON,Total all ages,"186,866","7,822","33,708",155,488,"1,831","5,348","4,900","27,244","1,376",188,"26,193",833,930,56,"3,144","5,223","1,771",435,606,"11,026",4,359,"24,627","3,236",41,"3,009",104,"63,717",17,5,,
WEST VIRGINIA,Under 18,"1,178",55,202,0,11,9,35,48,133,17,4,229,2,3,1,13,85,18,0,12,130,0,0,17,44,2,11,0,340,0,14,192,"1,071,996"
WEST VIRGINIA,Total all ages,"40,568","1,743","6,480",35,77,144,"1,487",685,"5,563",197,35,"4,890",309,583,138,314,746,378,64,116,"6,187",1,91,"4,543",940,"1,043",654,23,"11,311",0,14,,
WISCONSIN,Under 18,"43,693","1,146","6,769",23,163,458,502,631,"5,624",461,53,"2,341",30,134,19,538,"1,839",719,16,709,"2,920",11,158,222,"2,580",0,"8,340",38,"12,931",0,"2,233",389,"5,502,458"
WISCONSIN,Total all ages,"265,628","7,522","31,519",180,690,"1,562","5,090","2,789","27,432","1,163",135,"15,481",967,"2,890",283,"1,581","6,476","4,022",402,"2,067","25,302",53,"2,545","24,588","14,283",0,"36,191","1,107","86,115",1,"2,233",,
WYOMING,Under 18,"3,239",46,552,0,1,6,39,37,466,39,10,347,0,7,0,5,162,22,0,24,449,1,10,32,418,22,150,24,775,1,192,49,"523,926"
WYOMING,Total all ages,"27,058",553,"2,541",10,35,34,474,228,"2,157",95,61,"2,049",56,156,10,51,490,76,40,130,"3,695",1,354,"3,157","1,925","2,029",961,67,"8,523",2,192,,
