,Age,Gender,Birthplace,Location,Province,State,Definition,QuantityTrafficked,PercentChildren,PercentSexual,Region,Type,Perpetrators,KnowSurvivors,LocalTrafficking,Involvement,Interest,Thoughts
83,50-59,Female,USA,USA,,Texas,"Human trafficking involves the use of force, fraud, or coercion to obtain some type of labor or commercial sex act.",50 million,24%,57%,Americas,Forced labor,Family,Yes,5,Yes,No,no
84,30-39,Female,Canada,Canada,Prince Edward Island,,The selling of a human being. ,No one actually knows,24%,87%,Americas,Commercial sexual exploitation,Family,Yes,5,Yes,Yes,
85,40-49,Male,USA,USA,,South Carolina,The forcible sale and movement of humans without their permission.,50 million,64%,87%,Americas,Commercial sexual exploitation,Family,No,1,Yes,Yes,
86,60 or older,Female,USA,USA,,Minnesota,"Human trafficking involves the use of force, fraud, or coercion to obtain some type of labor or commercial sex act.",No one actually knows,24%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,1,Yes,Yes,
87,40-49,Female,Europe,USA,,California,"Slavery and exploration, force , fraud or coercion",50 million,24%,87%,Asia and the Pacific,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers, ",Yes,1,Yes,Yes,
88,40-49,Male,USA,USA,,Ohio,"The exploitation of an individual through the use of force, fraud, and/or coercion. ",50 million,24%,57%,Asia and the Pacific,Forced labor,Family,Yes,1,Yes,Yes,
89,30-39,Female,USA,USA,,Texas,"The selling or trading of humans for labor, sex, or commercial purposes with or without their consent",No one actually knows,64%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,5,Yes,I already work in an RTC for adolescent female survivors of trafficking,
90,50-59,Male,Canada,Canada,Manitoba,,"Any activity that forces or coerces a human being into servitude of any kind without their freely-given consent, especially for the purpose of financial gain for the perpetrator. In general, the entire network of organizations and individuals involved with the capture, confinement, and transportation of human beings for the above purposes.",No one actually knows,64%,87%,Americas,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",Yes,1,Yes,Yes,"As the adoptive father of a trafficked individual, I appreciate all of the efforts made by people worldwide to combat this evil network. Thank you!"
91,50-59,Female,USA,USA,,North Carolina,"It is the recruitment, harboring and obtaining a person for the purpose of sex trafficking or labor trafficking in which force, fraud or coercion is used to benefit from that survivor's work. ",No one actually knows,64%,57%,Asia and the Pacific,Forced labor,Kidnappers / strangers,Yes,5,Yes,Yes,
93,21-29,Female,USA,USA,,Texas,"Initially, I would probably define it by its legal definition which speaks of the use of force, fraud, and coercion for sex acts. After walking with survivors for a few years now, I might broaden this definition to include its impact on the individual including things like trauma and complex PTSD, housing and financial instability, the high probability of re-victimization, and the very challenging road of rebuilding one's life after exiting.",50 million,64%,87%,Asia and the Pacific,Commercial sexual exploitation,"Family, Foster system",Yes,1,Yes,Yes,
94,40-49,Female,USA,USA,,Pennsylvania,"Human trafficking is recruiting, harboring, transporting, providing, obtaining, patronizing, or soliciting of a person for labor or services.",No one actually knows,64%,87%,Europe and Central Asia,Commercial sexual exploitation,All the above,Yes,1,Yes,We are in this together !,Thank you for spreading awareness.  Blessings and prayers to you!
95,50-59,Female,USA,USA,,Louisiana,forced or feel no other choice but to engage in sexual or physical labor act in order to survive or for the benefit of someone else,No one actually knows,24%,57%,Europe and Central Asia,Commercial sexual exploitation,Family,Yes,1,Yes,No,
97,30-39,Female,USA,USA,,California,slavery,No one actually knows,64%,57%,Europe and Central Asia,Forced labor,Family,Yes,5,Yes,No,
102,21-29,Female,Canada,Canada,Ontario,,"Act/Means/Purpose (AMP) Model, exploitation, trauma, coercion, luring, grooming, control",No one actually knows,24%,87%,Asia and the Pacific,Commercial sexual exploitation,"Family, Foster system, Friends/Acquintances",Yes,2,Yes,No,
103,60 or older,Female,USA,USA,,Georgia,"HT is the illegal trade of human beings for labor or sex; using force, grooming, manipulation and exploitation. ",No one actually knows,64%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,5,Yes,No,"Once the ""victims"" are recovered and in rehab, we need more housing opportunities and mandatory counseling services for them and their families(children). Their recovery is about PTSD- and we need to all work to answer their needs. "
104,60 or older,Female,USA,USA,,Washington DC,"proof of force, fraud, or coercion unless they are under 18 years of age.",No one actually knows,24%,57%,Europe and Central Asia,Forced labor,Family,Yes,5,Yes,Yes,very interesting. I learned some things:)
105,40-49,Female,USA,USA,,Michigan,"Labor, sex, organs, benefits, received through force, fraud, or coercion. ",50 million,64%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,1,Yes,Yes,
106,30-39,Female,USA,USA,,California,commercial sex by a person under 18 or through any means of control or a person working and not being paid accordingly or treated well,50 million,24%,57%,Africa,Forced labor,Family,Yes,1,Yes,No,
107,40-49,Female,USA,USA,,Iowa,"Using force, fraud or coercion in order to benefit from someones work or service",No one actually knows,24%,87%,Europe and Central Asia,Forced labor,Family,Yes,1,Yes,Yes,
108,40-49,Male,USA,Canada,Manitoba,,"The enslavement of and selling a person who is reduced to a ""commodity"" and forced against their will to perform actions where the ""beneficiary"" of those actions pays the enslaver who is in turn profiting financially from the exchange. ",No one actually knows,24%,87%,Asia and the Pacific,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers, Governments",Yes,2,Yes,Already actively engaged in the fight,
109,40-49,Female,USA,USA,,California,The illegal business of selling people as products for another's gain.,No one actually knows,24%,87%,Americas,Commercial sexual exploitation,Family,Yes,1,Yes,No,
110,30-39,Female,Europe,USA,,Georgia,"Human trafficking is the use of force, fraud, or coercion bring a person into commercial sex or labor.",No one actually knows,24%,87%,Asia and the Pacific,Forced labor,Family,Yes,1,Yes,Yes,
111,60 or older,Female,USA,USA,,Georgia,"Forced labor, including sexual, through coercion, intimidation, or force.",No one actually knows,64%,57%,Asia and the Pacific,Forced labor,Family,Yes,1,Yes,Yes,
112,60 or older,Female,USA,USA,,Colorado,"Trading humans for the purpose of forced sexual acts, commercial sexual exploitation, forced labor, or forced slavery ",50 million,24%,87%,Asia and the Pacific,Forced labor,Kidnappers / strangers,Yes,1,Yes,Currently engaged on the front lines in the anti-trafficking movement in the U.S. ,
113,40-49,Female,USA,USA,,California,"being prostituted by a family member, boyfriend, or pimp 

survival sex for food, shelter, or money

trading of sex for drugs or alcohol

legally defined as trafficking if under 18yo (CSEC)

being the subject of pornography

stripping; illicit massage parlors; escort services

child marriage; mail order bride

sexual exploitation through religion

sexual exploitation of refugee/immigrant

sexual exploitation as act of war",No one actually knows,64%,87%,Asia and the Pacific,Forced labor,Family,Yes,1,Yes,Yes,
114,50-59,Female,USA,USA,,California,"modern-day slavery. Coercion of a person against their will to work (labor), etc.... It looks very different from case to case. Sometimes the trafficker uses force and entrapment and other times it is a family member or close friend that has manipulated the victim by circumstances / guilt, etc... ",No one actually knows,24%,7%,Asia and the Pacific,Forced labor,Family,Yes,1,Yes,No,
117,21-29,Female,USA,USA,,Texas,exploitation for sex or labor through coercion  ,No one actually knows,24%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,1,Yes,Yes,"I often do not focus on stats, because the crime is truly hidden and some of it is considered ""the life."" For what is out of the norm for me is very much the common practice or expected social norm for a community or people group. That does not mean it is excusable, but much of the conversation about human trafficking does filter down into morals rather than the general understanding that objectification of humans is the very core of trafficking. That said, stats are helpful to educate and understand, but I always weigh lived experiences as more valuable than any generalized stat because there is no universal standard for what is commercial sex versus sexual exploitation, and that gets even murkier with labor trafficking. "
118,50-59,Female,USA,USA,,Florida,"Modern day sex slavery, sexual exploitation of women and girls for the gain of their traffickers.",5 million,24%,87%,Americas,Commercial sexual exploitation,Family,Yes,1,Yes,No,
119,21-29,Female,Canada,Canada,Alberta,,"I define Human Trafficking with the Criminal Code of Canada definition: It involves the recruitment, transportation and harboring of persons and/or control of their movements for the purpose of exploiting them, typically for sexual exploitation or forced labour. 

And with the UN Definition: 
Human Trafficking is the exploitation of human beings for gain. HT Involves as action, means, and purpose. 
",No one actually knows,24%,87%,Asia and the Pacific,Commercial sexual exploitation,Intimate Partner,Yes,5,Yes,Yes,"I am not sure what the data is being used for or how it is being used and represented. The information provided I haven't seen those statistics before. The way the survey was presented it forces the participants to guess, therefore I have concerns about misrepresentation on the data and responses. The data represented in this survey is not accurate of my knowledge or work in anti-human trafficking work. "
120,40-49,Female,USA,USA,,Oklahoma,"insidious, force, fraud, coercion, under reported, overlooked, stigma of prostitution",No one actually knows,64%,87%,Americas,Forced labor,"Family, Master manipulators/opportunists",Yes,1,Yes,Yes,HT can never be tackled without tackling the demand. Johns aka rapists need stronger punishments. Traffickers are mere opportunists. The Demand needs to be lessened.
121,50-59,Female,USA,USA,,Ohio,One person exploiting the vulnerabilities of another person for financial or material gain through labor or sex,No one actually knows,24%,87%,Americas,Forced labor,Family,Yes,1,Yes,Yes,
123,50-59,Male,USA,USA,,Kansas,Coercing people to ones own benefit usually forced labor or sexual exploitation,No one actually knows,64%,57%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,1,Yes,Yes,
124,50-59,Female,USA,USA,,Alabama,The exploitation of a person for the purpose of compelled labor or commercial sex act.,No one actually knows,64%,87%,Arab States,Commercial sexual exploitation,Family,No,1,Yes,Yes,phaedra@blanketforthope.org
125,60 or older,Female,USA,USA,,California,"forced, coerced, manipulated, tricked, trading something for sex like food, shelter, drugs, etc. ",50 million,24%,57%,Asia and the Pacific,Forced labor,"family, trusted friend, or someone who gains their trust",Yes,5,Yes,Already in it,
127,40-49,Female,USA,USA,,Tennessee,"Exploiting another person for your own gain through the use of force, fraud, or coercion",No one actually knows,24%,57%,Americas,Commercial sexual exploitation,"Family, Known to the victim",Yes,1,Yes,Yes,
128,60 or older,Male,USA,USA,,Iowa,The exploitation of a person or persons through force for fraud or coercion,No one actually knows,64%,87%,Americas,Forced labor,Family,Yes,1,Yes,Yes,
129,21-29,Female,USA,USA,,Oklahoma,"The use of force, fraud, or coercion to require the exchange of sex for something of value. Or, simply the exchange of sex for something of value in which one participant is under the age of 18.",50 million,24%,57%,Asia and the Pacific,Forced labor,Family,Yes,1,Yes,No,
135,40-49,Male,USA,USA,,Florida,Selling young girls,"500,000",24%,57%,Americas,Forced labor,Kidnappers / strangers,No,1,Yes,Yes,
136,30-39,Female,USA,USA,,Michigan,Labor or sex trafficking. Where you cannot flee and are forced to do things for money that you do not want to. ,50 million,24%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,1,Yes,No,
138,30-39,Female,Canada,Canada,British Columbia,,"compelling or coercing someone to provide labour or services or engage in commercial sex acts. The coercion can be subtle, overt, psychological or physical. ",No one actually knows,24%,57%,Americas,Commercial sexual exploitation,someone who builds trust/a relationship with the victim,Yes,5,Yes,No,
140,30-39,Female,USA,USA,,Arizona,"Force, fraud, or coercion to engage in commercial sex acts or labor",No one actually knows,64%,87%,Americas,Forced labor,Family,Yes,1,Yes,Yes,
143,21-29,Female,USA,USA,,Oregon,Being used against your free will for the benefit/gain of others,50 million,4%,7%,Asia and the Pacific,Forced labor,Family,Yes,5,Yes,Yes,
146,21-29,Female,USA,USA,,Virginia,"Human trafficking is the trade of humans for the purpose of forced labour, sexual slavery, or commercial sexual exploitatio",No one actually knows,4%,87%,Europe and Central Asia,Commercial sexual exploitation,Family,Yes,1,Yes,Yes,
150,21-29,Female,Europe,Europe,,,Offense,5 million,64%,57%,Africa,Commercial sexual exploitation,Kidnappers / strangers,No,4,Yes,No,
153,21-29,Female,Asia,Europe,,,It is an illegal and highly immoral act. It is an abuse of human rights.,No one actually knows,64%,57%,Africa,Commercial sexual exploitation,"Foster system, Kidnappers / strangers",No,3,Yes,Yes,
154,21-29,Female,Asia,Europe,,,People are traded as objects and forced to do things they don't want to do.,No one actually knows,64%,87%,Africa,Forced labor,"Family, Foster system, Kidnappers / strangers",No,2,Yes,Yes,
159,40-49,Female,Canada,Canada,Manitoba,,"when people are exploited by others to work in the drug, sex, or other illegal trade.",No one actually knows,24%,87%,Americas,Commercial sexual exploitation,"Family, Kidnappers / strangers",Yes,1,Yes,No,
