Timestamp,What is your age?,What is your gender?,Where were you born?,Where do you currently live?,What province do you live in?,Which state do you live in?,How would you define human trafficking?,How many people are in slavery globally every year?,What percentage of reported victims of slavery are minors / children?,What percentage of reported victims are forced into sexual slavery / trafficking?,Which region has the highest prevalence of reported victims?,Which type of slavery has the most reported victims?,Who are most often the traffickers?,Do you personally know any survivors of human trafficking?,Please rate the likelihood that there are active trafficking operations in the area you live in,Are you actively engaged in fighting human trafficking?,Are you interested in opportunities to fight human trafficking?,Any other thoughts you would like to share?
4/14/2023 15:07:11,30-39,Female,USA,USA,,Florida,Taking someone against their will illegally ,No one actually knows,24%,7%,Americas,Commercial sexual exploitation,"Family, Kidnappers / strangers",No,1,No,Yes,
4/14/2023 16:25:22,40-49,Male,USA,USA,,New York,Illegal transportation of humans for profit,No one actually knows,64%,57%,Asia and the Pacific,Forced labor,Family,No,1,No,No,
4/14/2023 16:35:25,40-49,Female,USA,USA,,Mississippi,"A person enslaved against his/her will and forced to do anything such as sex, cooking, keep children, etc.",No one actually knows,64%,87%,Africa,Commercial sexual exploitation,Kidnappers / strangers,No,3,No,No,
4/14/2023 16:37:40,21-29,Female,Europe,Europe,,,Kidnapping and assault,No one actually knows,24%,87%,Africa,Forced marriage,Family,No,5,No,Yes,
4/14/2023 17:28:48,40-49,Male,USA,USA,,New York,Kidnapping of little girls and young women ands being sent to places far from home to be slaves.,50 million,64%,87%,Americas,Commercial sexual exploitation,"Family, Kidnappers / strangers",No,2,No,Yes,As a father of daughters I am very invested in how to avoid this happening to my children.
4/14/2023 17:42:26,21-29,Female,Europe,Europe,,,"kidnapping, abused, money related, sexual abuse","500,000",64%,57%,Arab States,Forced marriage,"Family, Kidnappers / strangers",No,4,No,No,
4/14/2023 17:55:35,50-59,Female,Asia,USA,,Connecticut,slavery,No one actually knows,64%,87%,Asia and the Pacific,Forced labor,Kidnappers / strangers,No,4,No,Yes,Interesting topic
4/14/2023 18:36:13,50-59,Male,USA,USA,,South Carolina,Unlawful taking of someone for financial gain,"500,000",24%,87%,Africa,Commercial sexual exploitation,Kidnappers / strangers,No,5,No,No,
4/15/2023 1:57:44,21-29,Female,Europe,Europe,,,"trading humans for labour, slavery, and/ or sexual exploitation",No one actually knows,64%,87%,Africa,Commercial sexual exploitation,Family,No,4,No,Yes,
4/15/2023 3:01:48,21-29,Male,South America,Europe,,,Coercion to kidnap people or use them,50 million,64%,57%,Asia and the Pacific,Forced marriage,"Family, Kidnappers / strangers",No,2,No,No,
4/15/2023 11:31:00,40-49,Female,USA,USA,,Arizona,"Slavery, a modern problem, hidden, ",No one actually knows,64%,87%,Asia and the Pacific,Forced marriage,Family,No,4,No,Yes,
4/15/2023 13:03:34,21-29,Female,Asia,USA,,Florida,inhumane ,No one actually knows,64%,87%,Africa,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",No,3,No,No,
4/15/2023 13:26:09,21-29,Male,USA,USA,,Colorado,Holding people against their will and using them for profit as well as an object that has monetary value to trade or sell. ,No one actually knows,24%,87%,Africa,Forced labor,"Family, Foster system",No,2,No,Yes,
4/15/2023 14:30:59,50-59,Female,USA,USA,,Washington,human slavery,No one actually knows,64%,87%,Asia and the Pacific,Forced labor,Kidnappers / strangers,No,2,No,Yes,
4/15/2023 14:42:49,40-49,Female,USA,USA,,Washington,"The abduction, sale and purchase, and enslavement of individuals. Often for a sexual purpose.",5 million,64%,57%,Americas,Commercial sexual exploitation,Family,Yes,1,Yes,No,I learned some things that I did not know. Thank you for the information. Such an evil. We must keep fighting it!
4/15/2023 14:53:59,60 or older,Female,USA,USA,,Washington,Coercion of persons for goods or services. Selling of children for the use of sexual purposes.,50 million,64%,87%,Americas,Commercial sexual exploitation,Kidnappers / strangers,Yes,1,No,I have already worked for 8 years fighting Human Trafficking and now retired,no
4/15/2023 15:02:48,30-39,Female,USA,USA,,Texas,"A method of kidnapping young children, teenagers, and even adults and selling them to other people for sex and/or slave labor. ",No one actually knows,64%,87%,Americas,Forced labor,"Foster system, Kidnappers / strangers",No,1,No,Yes,
4/15/2023 15:07:27,50-59,Female,USA,USA,,Oregon,"kidnapping children and adults and selling them for sex, slavery",No one actually knows,64%,87%,Americas,Forced labor,"Kidnappers / strangers, 1 percent, people of any kind of power, government, wealthy, greedy mean people. Drug dealers!",No,1,Yes,Not at this time,
4/15/2023 16:20:59,40-49,Female,USA,USA,,Washington,"People being forced, coerced, or exploited into sex or labor, for the gain of someone else",No one actually knows,24%,57%,Arab States,Forced marriage,Family,Yes,1,Yes,Yes,
4/15/2023 20:43:08,50-59,Female,Canada,Canada,Ontario,,"Shipping people around like cargo, for nefarious purposes (most often sexual).  ",No one actually knows,64%,87%,Asia and the Pacific,Commercial sexual exploitation,"Foster system, Kidnappers / strangers, Global élites: very wealthy, very powerful, and ""above the law"".",No,1,No,"Have sympathy, but am too far removed from it to do anything directly.",
4/16/2023 15:44:46,21-29,Female,USA,USA,,Florida,"Inhuman, forcing/grooming/coercing someone to do acts in which they do not consent to. Can take many forms such as forced labor, sex trafficking. Hard to detect at times. ",No one actually knows,64%,87%,Europe and Central Asia,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",Yes,5,Yes,No,
4/16/2023 19:04:24,30-39,Female,USA,USA,,Washington,Kidnapping/sex,No one actually knows,24%,57%,Americas,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",No,2,No,Yes,
4/16/2023 20:05:01,21-29,Male,USA,USA,,Tennessee,"Involuntary movement of humans from one possessor to another, for monetary or otherwise personal gain.",50 million,64%,57%,Europe and Central Asia,Forced labor,Family,No,3,No,Yes,
4/17/2023 4:23:30,21-29,Female,Europe,Europe,,,"illegal transportation of people, selling them to slavery",No one actually knows,64%,87%,Asia and the Pacific,Forced labor,Kidnappers / strangers,No,4,No,Yes,
4/17/2023 17:21:35,60 or older,Female,Africa,Europe,,,immoral and humiliating to the victims,No one actually knows,4%,57%,Europe and Central Asia,Commercial sexual exploitation,Kidnappers / strangers,No,2,No,No,
4/18/2023 21:21:27,50-59,Female,USA,USA,,Alaska,abduction; sexual dominance; sex slavery; drugged for compliance; prisoner/victim; female victims.  Sex slave trade. Inhumane.  Abusive. Assaulted.  Subdued. ,50 million,64%,87%,Europe and Central Asia,Commercial sexual exploitation,known perpetrator but not necessarily family,No,5,No,Yes,cultrabennett@gmail.com
4/19/2023 7:42:48,21-29,Female,Europe,Europe,,,"It is the process of abducting people for the financial benefits - prostitution, organ donation etc",No one actually knows,24%,57%,Americas,Commercial sexual exploitation,Kidnappers / strangers,No,3,No,Yes,
4/20/2023 10:16:34,60 or older,Male,USA,USA,,Alaska,Being involved in forcefully taking a people against there will,50 million,64%,87%,Africa,Forced labor,Kidnappers / strangers,No,1,No,Yes,edultrab@hotmail.com
4/22/2023 15:06:02,21-29,Female,Africa,Europe,,,when people are sexually exploited for profit,5 million,64%,87%,Africa,Commercial sexual exploitation,Family,No,2,No,Yes,
4/22/2023 20:57:17,50-59,Male,USA,USA,,California,Using another individual by exploiting them for money ,50 million,64%,87%,Americas,Commercial sexual exploitation,Family,No,1,No,No,
4/23/2023 9:55:40,40-49,Female,USA,USA,,California,"Kidnapping, slavery, sexual abuse, mental abuse, assault and physical abuse. ",No one actually knows,24%,87%,Arab States,Forced labor,"Family, Kidnappers / strangers",No,1,No,No,Congratulations on your certificate! :) What a great cause to be helping! 
4/23/2023 12:37:56,21-29,Female,Canada,Canada,British Columbia,,"People who are either manipulated, kidnapped, or threatened into a situation where they have no say over anything. And services/lives are bought or sold without their consent. ",No one actually knows,24%,57%,Africa,Commercial sexual exploitation,Family,Yes,1,No,Yes,Avrilclarke17@gmail.com
4/23/2023 18:50:25,30-39,Female,USA,USA,,North Carolina,A person forced to do something such as sex acts or labor against his or her will,50 million,64%,87%,Africa,Commercial sexual exploitation,Family,Yes,1,No,Yes,brittb077@gmail.com
4/23/2023 18:51:15,40-49,Female,Canada,Canada,British Columbia,,Any form of human enslavement that will benefit someone else.,50 million,64%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,5,No,Yes,
4/23/2023 19:09:43,30-39,Male,USA,USA,,North Carolina,Treating people as a product that can be bought and sold.,5 million,64%,87%,Africa,Forced labor,Family,No,3,No,Yes,
4/23/2023 19:41:05,30-39,Female,USA,USA,,Idaho,Illegal Selling of humans for sex and labor ,No one actually knows,24%,87%,Africa,Commercial sexual exploitation,Kidnappers / strangers,No,5,No,Yes,
4/23/2023 20:04:07,30-39,Male,USA,USA,,California,"The illegal movement of people, typically in association with slavery or prostitution. ",No one actually knows,24%,57%,Africa,Commercial sexual exploitation,Kidnappers / strangers,No,1,Yes,Yes,
4/23/2023 20:40:08,40-49,Male,Canada,Canada,British Columbia,,"The kidnapping, drugging, manipulation, blackmail,  or all the above of a human being, either male, or female, for profit, pleasure, abuse, or all the above. ",No one actually knows,64%,87%,Americas,Commercial sexual exploitation,Foster system,No,5,No,Yes,
4/23/2023 20:42:28,40-49,Female,USA,USA,,California,When people are taken knowingly or unknowingly and made to work unpaid or little pay. Mostly in the form of prostitution.,5 million,64%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,No,1,No,Yes,
4/23/2023 20:49:08,40-49,Male,USA,USA,,Washington,It is the act where people have been taken against their will to be used for sexual gratification for the purpose of making others a lot of money.,5 million,64%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,2,No,Yes,
4/24/2023 1:31:10,50-59,Male,Europe,Europe,,,modern slavery,No one actually knows,64%,87%,Europe and Central Asia,Commercial sexual exploitation,Kidnappers / strangers,No,3,No,No,
4/24/2023 2:38:43,30-39,Female,Europe,Europe,,,"slavery, unwanted / forced relocation, exploitation of vulnerable",No one actually knows,64%,87%,Arab States,Forced labor,"Family, Kidnappers / strangers",No,3,No,No,
4/24/2023 7:04:44,30-39,Male,USA,USA,,Tennessee,Someone being taken against their will (or being manipulated) for sexual exploitation. ,No one actually knows,24%,57%,Americas,Commercial sexual exploitation,Family,No,5,No,Yes,
4/24/2023 9:10:27,21-29,Female,USA,USA,,California,Taking humans without their consent and using them (their bodies) to make a profit. ,5 million,64%,87%,Europe and Central Asia,Forced labor,"Family, Foster system, Kidnappers / strangers",No,3,No,Yes,Emmakguerena@gmail.com  def would like to get involved in the fight 
4/24/2023 9:23:47,21-29,Female,Africa,Africa,,,"Lack of religion, crime, inhumane and unethical.",50 million,24%,87%,Asia and the Pacific,Forced labor,"Kidnappers / strangers, Due to the previous Q, it’s both forced labor and marriage",No,1,No,No,
4/24/2023 10:41:08,30-39,Male,USA,USA,,California,"Slavery, unholy, hurtful, ",No one actually knows,64%,87%,Americas,Commercial sexual exploitation,Family,No,1,No,Yes,
4/24/2023 16:25:20,40-49,Female,Canada,USA,,Washington,Profiting off of human enslavement  ,50 million,64%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,1,Yes,Yes,
4/25/2023 6:41:12,40-49,Female,USA,USA,,California,"An illegal business to victimize another human, enslave them, and sell for sex acts to perverted humans. All for the owners gain in money and power.  ",No one actually knows,24%,87%,Americas,Commercial sexual exploitation,Family,No,5,No,Yes,
4/26/2023 5:01:36,60 or older,Female,USA,USA,,Arizona,Evil,No one actually knows,24%,87%,Arab States,Forced labor,Kidnappers / strangers,Yes,1,Yes,.,
4/26/2023 13:49:23,21-29,Female,USA,USA,,Missouri,"kidnapping, forced labor, sexual exploitation",5 million,64%,87%,Americas,Commercial sexual exploitation,"Family, Kidnappers / strangers",No,2,No,Yes,
4/27/2023 5:57:28,21-29,Female,Asia,USA,,Georgia,the act of trading humans for various purposes,No one actually knows,64%,57%,Africa,Forced labor,"Family, Foster system",No,4,No,Yes,
4/27/2023 7:37:36,50-59,Female,Europe,Europe,,,a crime,No one actually knows,24%,57%,Arab States,Forced marriage,Kidnappers / strangers,No,3,Yes,Yes,
4/27/2023 8:39:06,50-59,Female,USA,USA,,California,Abduction /sexual slavery ,50 million,24%,57%,Asia and the Pacific,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",No,3,No,Maybe,
4/27/2023 10:58:04,50-59,Female,Europe,Europe,,,not related,No one actually knows,64%,87%,Africa,Commercial sexual exploitation,Kidnappers / strangers,No,2,No,Yes,I am very sympathetic to the victims and their families
4/28/2023 6:56:35,21-29,Female,Asia,Europe,,,Taking advantage of people who are in need of money by making them perform jobs or tasks that require them to move from one place to the other while selling something or being sold themselves,5 million,24%,57%,Africa,Forced marriage,Family,No,4,No,maybe,
4/30/2023 19:30:59,21-29,Female,Asia,Asia,,,"Selling off of human beings into activities like prostitution, child labour, etc. ",5 million,24%,57%,Asia and the Pacific,Commercial sexual exploitation,Kidnappers / strangers,No,5,No,No,
5/1/2023 10:07:23,30-39,Female,Europe,Europe,,,"Illegal, non-humanitarian, mafia, poverty, war",No one actually knows,4%,87%,Africa,Commercial sexual exploitation,"Foster system, Kidnappers / strangers, Mafia",No,5,No,Yes,
5/4/2023 10:38:51,21-29,Male,Europe,Europe,,,"Illegal crime where people use other people for sex, work, or other, by using violence.",No one actually knows,64%,87%,Americas,Commercial sexual exploitation,Kidnappers / strangers,No,1,No,No,
5/7/2023 3:36:32,60 or older,Male,Europe,Europe,,,Illegally moving people across international borders,No one actually knows,64%,57%,Africa,Commercial sexual exploitation,Family,No,2,No,Yes,
5/7/2023 9:34:57,21-29,Female,Europe,Europe,,,Illegal. Trading of people ,No one actually knows,64%,87%,Americas,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",No,3,No,Yes,No
5/9/2023 0:35:37,21-29,Male,Europe,Europe,,,Abduction of humans in hope of ransom,5 million,24%,57%,Europe and Central Asia,Forced labor,Kidnappers / strangers,No,1,No,Yes,
5/9/2023 7:51:46,30-39,Female,Canada,Canada,Manitoba,,"The use of force, fraud or coercion to trap someone typically in sexual exploitation or forced labour ( I would include organ trafficking as well as child marriage in this as well).",No one actually knows,24%,87%,Americas,Commercial sexual exploitation,Family,Yes,1,Yes,Yes,"Great Job! Stats are so hard to navigate and often present an image that is inaccurate in depicting the true realities. For example, the stats on sexual exploitation vs labour. Factors such as initial exploitation vs forced participation once trapped. Shame and disbelief surrounding sexual exploitation for men and boys. So tricky. The stats regarding arab states being higher reported. Same thing.... Do they take into account population differences as well as govt agendas and resources. So many thoughts. 
You did an amazing job with this Hannah and to me it highlights the struggle to understand the breadth and width and scope of the problem as a whole."
5/9/2023 8:50:53,40-49,Female,Canada,Canada,Manitoba,,"When a person is made to give services (sexual, labour, etc) against their will. Basically, slave trading. ",50 million,64%,57%,Americas,Forced labor,Family,Yes,1,Yes,Yes,
5/9/2023 8:52:20,30-39,Female,USA,USA,,California,Ht,No one actually knows,64%,87%,Americas,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",Yes,5,Yes,Yes,
5/9/2023 8:52:46,30-39,Male,Canada,Canada,Manitoba,,"The mistreatment and exploitation of human beings for personal gain. Examples including prostitution, forced labour, involvement in drug trafficking and other criminal activity",No one actually knows,64%,87%,Asia and the Pacific,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",Yes,1,No,Yes,
5/9/2023 8:55:07,30-39,Female,Canada,Canada,Prince Edward Island,,"Illegal or unethical treatment of humans with regard to use of force, threats, or coersion to gain control of said human in terms of work slavery, sexual slavery, predatory immigration and related",No one actually knows,64%,87%,Asia and the Pacific,Forced labor,Family,Yes,2,No,Yes,
5/9/2023 8:56:28,50-59,Female,USA,USA,,Texas,"Human trafficking involves the use of force, fraud, or coercion to obtain some type of labor or commercial sex act.",50 million,24%,57%,Americas,Forced labor,Family,Yes,5,Yes,No,no
5/9/2023 8:58:34,30-39,Female,Canada,Canada,Prince Edward Island,,The selling of a human being. ,No one actually knows,24%,87%,Americas,Commercial sexual exploitation,Family,Yes,5,Yes,Yes,
5/9/2023 9:08:22,40-49,Male,USA,USA,,South Carolina,The forcible sale and movement of humans without their permission.,50 million,64%,87%,Americas,Commercial sexual exploitation,Family,No,1,Yes,Yes,
5/9/2023 9:10:59,60 or older,Female,USA,USA,,Minnesota,"Human trafficking involves the use of force, fraud, or coercion to obtain some type of labor or commercial sex act.",No one actually knows,24%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,1,Yes,Yes,
5/9/2023 9:13:01,40-49,Female,Europe,USA,,California,"Slavery and exploration, force , fraud or coercion",50 million,24%,87%,Asia and the Pacific,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers, ",Yes,1,Yes,Yes,
5/9/2023 9:13:09,40-49,Male,USA,USA,,Ohio,"The exploitation of an individual through the use of force, fraud, and/or coercion. ",50 million,24%,57%,Asia and the Pacific,Forced labor,Family,Yes,1,Yes,Yes,
5/9/2023 9:14:47,30-39,Female,USA,USA,,Texas,"The selling or trading of humans for labor, sex, or commercial purposes with or without their consent",No one actually knows,64%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,5,Yes,I already work in an RTC for adolescent female survivors of trafficking,
5/9/2023 9:15:14,50-59,Male,Canada,Canada,Manitoba,,"Any activity that forces or coerces a human being into servitude of any kind without their freely-given consent, especially for the purpose of financial gain for the perpetrator. In general, the entire network of organizations and individuals involved with the capture, confinement, and transportation of human beings for the above purposes.",No one actually knows,64%,87%,Americas,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",Yes,1,Yes,Yes,"As the adoptive father of a trafficked individual, I appreciate all of the efforts made by people worldwide to combat this evil network. Thank you!"
5/9/2023 9:25:11,50-59,Female,USA,USA,,North Carolina,"It is the recruitment, harboring and obtaining a person for the purpose of sex trafficking or labor trafficking in which force, fraud or coercion is used to benefit from that survivor's work. ",No one actually knows,64%,57%,Asia and the Pacific,Forced labor,Kidnappers / strangers,Yes,5,Yes,Yes,
5/9/2023 9:29:53,30-39,Female,Canada,Canada,Manitoba,,"All humans, adult, youth, children, infants, being sold or kidnapped for the purpose’s but not limited to labour and sex ",50 million,64%,87%,Americas,Commercial sexual exploitation,Family,Yes,5,No,Yes,
5/9/2023 9:30:27,21-29,Female,USA,USA,,Texas,"Initially, I would probably define it by its legal definition which speaks of the use of force, fraud, and coercion for sex acts. After walking with survivors for a few years now, I might broaden this definition to include its impact on the individual including things like trauma and complex PTSD, housing and financial instability, the high probability of re-victimization, and the very challenging road of rebuilding one's life after exiting.",50 million,64%,87%,Asia and the Pacific,Commercial sexual exploitation,"Family, Foster system",Yes,1,Yes,Yes,
5/9/2023 9:41:03,40-49,Female,USA,USA,,Pennsylvania,"Human trafficking is recruiting, harboring, transporting, providing, obtaining, patronizing, or soliciting of a person for labor or services.",No one actually knows,64%,87%,Europe and Central Asia,Commercial sexual exploitation,All the above,Yes,1,Yes,We are in this together !,Thank you for spreading awareness.  Blessings and prayers to you!
5/9/2023 9:54:34,50-59,Female,USA,USA,,Louisiana,forced or feel no other choice but to engage in sexual or physical labor act in order to survive or for the benefit of someone else,No one actually knows,24%,57%,Europe and Central Asia,Commercial sexual exploitation,Family,Yes,1,Yes,No,
5/9/2023 10:15:07,18-20,Female,Canada,Canada,Manitoba,,The exploitation of a person through manual labour or the sex trade. Selling a person to another. Grooming vulnerable people to enter into relationships with traffickers so they believe they are in the sex trade by choice ,No one actually knows,64%,87%,Europe and Central Asia,Commercial sexual exploitation,Family,Yes,1,No,Yes,Tirzahk@icya.ca
5/9/2023 10:19:16,30-39,Female,USA,USA,,California,slavery,No one actually knows,64%,57%,Europe and Central Asia,Forced labor,Family,Yes,5,Yes,No,
5/9/2023 10:28:33,30-39,Female,Canada,Canada,Manitoba,,It is human trading that is forced labour or sexual exploitation,No one actually knows,64%,87%,Asia and the Pacific,Commercial sexual exploitation,"Family, Kidnappers / strangers",Yes,4,No,No,
5/9/2023 10:32:08,60 or older,Female,Canada,Canada,Manitoba,,Very abusive and deceptive in tricking girls they will get lots of money not knowing it will effect them later and be trapped,No one actually knows,64%,87%,Africa,Commercial sexual exploitation,Kidnappers / strangers,No,1,No,Not right now,
5/9/2023 10:36:06,21-29,Female,Canada,Canada,Northwest Territories,,"selling people against their will, often for sex; moving people across borders against their will",No one actually knows,24%,87%,Asia and the Pacific,Forced labor,Family,No,2,No,Yes,
5/9/2023 11:13:29,40-49,Female,Canada,Canada,Manitoba,,Sexual exploitation against ones will,No one actually knows,64%,87%,Europe and Central Asia,Commercial sexual exploitation,Family,Yes,2,No,Yes,
5/9/2023 11:16:32,21-29,Female,Canada,Canada,Ontario,,"Act/Means/Purpose (AMP) Model, exploitation, trauma, coercion, luring, grooming, control",No one actually knows,24%,87%,Asia and the Pacific,Commercial sexual exploitation,"Family, Foster system, Friends/Acquintances",Yes,2,Yes,No,
5/9/2023 11:39:09,60 or older,Female,USA,USA,,Georgia,"HT is the illegal trade of human beings for labor or sex; using force, grooming, manipulation and exploitation. ",No one actually knows,64%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,5,Yes,No,"Once the ""victims"" are recovered and in rehab, we need more housing opportunities and mandatory counseling services for them and their families(children). Their recovery is about PTSD- and we need to all work to answer their needs. "
5/9/2023 11:45:44,60 or older,Female,USA,USA,,Washington DC,"proof of force, fraud, or coercion unless they are under 18 years of age.",No one actually knows,24%,57%,Europe and Central Asia,Forced labor,Family,Yes,5,Yes,Yes,very interesting. I learned some things:)
5/9/2023 11:46:38,40-49,Female,USA,USA,,Michigan,"Labor, sex, organs, benefits, received through force, fraud, or coercion. ",50 million,64%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,1,Yes,Yes,
5/9/2023 12:04:21,30-39,Female,USA,USA,,California,commercial sex by a person under 18 or through any means of control or a person working and not being paid accordingly or treated well,50 million,24%,57%,Africa,Forced labor,Family,Yes,1,Yes,No,
5/9/2023 12:20:42,40-49,Female,USA,USA,,Iowa,"Using force, fraud or coercion in order to benefit from someones work or service",No one actually knows,24%,87%,Europe and Central Asia,Forced labor,Family,Yes,1,Yes,Yes,
5/9/2023 13:10:44,40-49,Male,USA,Canada,Manitoba,,"The enslavement of and selling a person who is reduced to a ""commodity"" and forced against their will to perform actions where the ""beneficiary"" of those actions pays the enslaver who is in turn profiting financially from the exchange. ",No one actually knows,24%,87%,Asia and the Pacific,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers, Governments",Yes,2,Yes,Already actively engaged in the fight,
5/9/2023 14:01:18,40-49,Female,USA,USA,,California,The illegal business of selling people as products for another's gain.,No one actually knows,24%,87%,Americas,Commercial sexual exploitation,Family,Yes,1,Yes,No,
5/9/2023 14:06:39,30-39,Female,Europe,USA,,Georgia,"Human trafficking is the use of force, fraud, or coercion bring a person into commercial sex or labor.",No one actually knows,24%,87%,Asia and the Pacific,Forced labor,Family,Yes,1,Yes,Yes,
5/9/2023 15:31:39,60 or older,Female,USA,USA,,Georgia,"Forced labor, including sexual, through coercion, intimidation, or force.",No one actually knows,64%,57%,Asia and the Pacific,Forced labor,Family,Yes,1,Yes,Yes,
5/9/2023 16:22:15,60 or older,Female,USA,USA,,Colorado,"Trading humans for the purpose of forced sexual acts, commercial sexual exploitation, forced labor, or forced slavery ",50 million,24%,87%,Asia and the Pacific,Forced labor,Kidnappers / strangers,Yes,1,Yes,Currently engaged on the front lines in the anti-trafficking movement in the U.S. ,
